Name (JPN romaji),Name (FR),Element,Gender,TeamID,Position,TP,Kick,Body,Control,Guard,Speed,Catch,Key bonus,Kakusei
Gran,Xene,Fire,Male,5.0,FW,180.0,100.0,90.0,80.0,80.0,100.0,70.0,Kick +2/Speed +2,2.0
Handa Shinichi (Dark Emperors),Steve Grim (Empereurs Noirs),Wind,Male,7.0,MF,170.0,90.0,90.0,90.0,80.0,90.0,70.0,Guard +2/Control +2,2.0
Shimozuru Arata ,Neil Turner,Fire,Male,9.0,FW,170.0,100.0,90.0,90.0,80.0,80.0,70.0,Control +4,2.0
Eska Bamel ,Escavan Malice,Earth,Male,12.0,FW,180.0,100.0,90.0,90.0,80.0,90.0,70.0,Kick +4,2.0
Kurumada Gouichi ,Subaru Honda,Fire,Male,14.0,DF,180.0,80.0,90.0,80.0,80.0,80.0,70.0,Body +2/Speed +2,2.0
Goushu Flare ,Gareth Flare,Fire,Male,16.0,FW,180.0,100.0,90.0,70.0,80.0,80.0,70.0,Guard +4,2.0
Taki Sousuke ,Langford Ash,Earth,Male,21.0,FW,170.0,110.0,90.0,90.0,80.0,100.0,70.0,Kick +2/Body +2,3.0
Yukimura Hyouga ,Njord Snio,Wind,Male,21.0,FW,180.0,110.0,90.0,90.0,80.0,110.0,70.0,Kick +2/Speed +2,3.0
Atena Tomo ,Wesley Knox,Wood,Male,3.0,MF,160.0,70.0,90.0,80.0,80.0,90.0,80.0,Control +2/Speed +2,2.0
IQ,Arkew,Wind,Male,5.0,DF,160.0,70.0,90.0,90.0,80.0,80.0,80.0,Catch +2/Control +2,2.0
Kurimatsu Teppei (Inazuma Japan),Tod Ironside (Inazuma Japon),Fire,Male,8.0,DF,170.0,80.0,90.0,90.0,80.0,80.0,80.0,Body +2/Guard +2,2.0
Rasetsu ,Dasan,Fire,Male,23.0,FW,170.0,110.0,90.0,90.0,80.0,90.0,80.0,Kick +2/Body +2,2.0
Shura ,Navan,Wind,Male,23.0,FW,160.0,100.0,90.0,100.0,80.0,90.0,80.0,Control +2/Speed +2,2.0
Kurimatsu Teppei (Dark Emperors),Tod Ironside (Empereurs Noirs),Fire,Male,7.0,MF,170.0,80.0,90.0,90.0,80.0,80.0,90.0,Body +2/Speed +2,2.0
Shishido Sakichi (Dark Emperors),Sam Kincaid (Empereurs Noirs),Fire,Male,7.0,MF,180.0,90.0,90.0,80.0,80.0,80.0,90.0,Body +2/Control +2,2.0
Matsukaze Tenma (Tutorial),Arion Sherwind  (Tutorial),Wind,Male,14.0,MF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,
Saginuma Osamu (Neo Japan),Dave Quagmire (Neo Japon),Fire,Male,9.0,MF,170.0,100.0,90.0,90.0,80.0,80.0,90.0,Body +2/Guard +2,2.0
Skid Wu ,Jazzy Hedgeers,Fire,Male,16.0,FW,190.0,90.0,90.0,70.0,80.0,70.0,100.0,Catch +2/Speed +2,2.0
Tsurugi Kyousuke ,Victor Blade,Fire,Male,14.0,FW,180.0,110.0,90.0,90.0,80.0,100.0,70.0,Kick +4,3.0
Gazel,Gazelle,Wind,Male,6.0,FW,160.0,80.0,90.0,90.0,80.0,100.0,80.0,Control +2/Speed +2,2.0
Afuro Terumi (Mondial Selection),Byron Love (Sélection Mondiale),Wood,Male,10.0,MF,180.0,90.0,90.0,100.0,80.0,80.0,80.0,Control +2/Speed +2,2.0
Yamino Kageto (Raimon),Shadow (Raimon),Wood,Male,88.0,FW,160.0,90.0,90.0,90.0,80.0,80.0,60.0,Kick +2/Guard +2,2.0
Doumen Shuuichirou ,Derek Swing,Wind,Male,2.0,MF,170.0,80.0,90.0,100.0,80.0,90.0,70.0,Body +4,2.0
Utsunomiya Toramaru ,Austin Hobbes,Wood,Male,8.0,FW,170.0,110.0,90.0,90.0,80.0,90.0,70.0,Kick +2/Control +2,2.0
Takanashi Shinobu ,Sue Sparrow,Wind,Female,13.0,MF,160.0,80.0,90.0,100.0,80.0,80.0,70.0,Body +4,2.0
Isozaki Kenma ,Infinity Beyond,Fire,Male,22.0,FW,170.0,110.0,90.0,90.0,80.0,90.0,70.0,Kick +4,2.0
Tsurugi x Okita ,Victor x Okita,Fire,Male,102.0,FW,180.0,110.0,90.0,90.0,80.0,100.0,70.0,Kick +4,2.0
Urabe Rika ,Suzette Hartland,Wood,Female,4.0,FW,160.0,80.0,90.0,90.0,80.0,80.0,80.0,Kick +2/Speed +2,2.0
Hamano Kaiji ,Adé Kébé,Wind,Male,14.0,MF,170.0,80.0,90.0,90.0,80.0,90.0,80.0,Catch +2/Guard +2,2.0
Ichino Nanasuke ,Hugues Baudet,Wind,Male,14.0,MF,160.0,90.0,90.0,90.0,80.0,90.0,80.0,Catch +2/Speed +2,2.0
Yorozu Hiromi ,Bela Bluebells,Wind,Female,13.0,MF,180.0,90.0,90.0,90.0,80.0,80.0,60.0,Guard +2/Speed +2,2.0
Seto Midori ,Jade Greene,Fire,Female,89.0,FW,180.0,110.0,90.0,90.0,80.0,90.0,70.0,Kick +4,2.0
Fudou Akio (Inazuma Japan),Caleb Stonewall (Inazuma Japon),Fire,Male,8.0,MF,180.0,80.0,90.0,100.0,90.0,90.0,70.0,Body +4,2.0
Shindou Takuto ,Riccardo Di Rigo,Wood,Male,14.0,MF,190.0,90.0,90.0,100.0,90.0,90.0,70.0,Control +4,3.0
Marron Ian ,Ian Ferrum,Fire,Male,16.0,DF,180.0,70.0,90.0,70.0,90.0,90.0,70.0,Kick +2/Body +2,2.0
Kurosaki Makoto ,Cronus Fourseasons,Fire,Male,21.0,MF,180.0,100.0,90.0,100.0,90.0,100.0,70.0,Kick +2/Guard +2,3.0
Hayabusa Hideki ,Zaphod Riker,Wind,Male,22.0,MF,170.0,90.0,90.0,90.0,90.0,100.0,70.0,Speed +4,3.0
Matsuno Kuusuke (Dark Emperors),Maxwell Carson (Empereurs Noirs),Wind,Male,7.0,MF,180.0,70.0,90.0,100.0,90.0,80.0,80.0,Kick +2/Control +2,2.0
Gebo Torangas ,Lump Trungus,Fire,Male,12.0,DF,180.0,80.0,90.0,90.0,90.0,80.0,80.0,Catch +2/Body +2,2.0
Nishigaki Mamoru (Kirkwood),Malcolm Night (Kirkwood),Fire,Male,88.0,DF,160.0,80.0,90.0,80.0,90.0,90.0,80.0,Catch +2/Control +2,2.0
Ishido Shuuji ,Alex Zabel ,Fire,Male,89.0,FW,170.0,110.0,90.0,90.0,90.0,100.0,80.0,Kick +2/Guard +2,2.0
Aporo Hikaru ,Apollo Light,Wood,Male,3.0,DF,160.0,90.0,90.0,80.0,90.0,70.0,90.0,Catch +2/Speed +2,2.0
Gocker,Gocker,Earth,Male,6.0,DF,180.0,80.0,90.0,80.0,90.0,60.0,90.0,Catch +4,2.0
Kurakake Clara ,Clear,Wind,Female,6.0,DF,170.0,70.0,90.0,90.0,90.0,80.0,90.0,Guard +4,2.0
Reiza ,Juliet,Wind,Female,20.0,FW,180.0,100.0,90.0,90.0,90.0,90.0,90.0,Body +2/Speed +2,2.0
Aresu Ran ,Lane War,Earth,Male,3.0,DF,160.0,80.0,90.0,80.0,90.0,70.0,100.0,Catch +4,2.0
Shindou x Nobunaga ,Riccardo x Nobunaga,Wood,Male,102.0,MF,190.0,90.0,90.0,100.0,90.0,90.0,70.0,Control +4,2.0
Someoka Ryuugo (Inazuma Japan),Kevin Dragonfly (Inazuma Japon),Wood,Male,8.0,FW,170.0,100.0,90.0,90.0,90.0,80.0,80.0,Kick +2/Catch +2,2.0
Inaba Taian ,Inaba,Wind,Male,89.0,FW,150.0,100.0,90.0,100.0,90.0,90.0,80.0,Kick +4,3.0
Hera Tadashi (Zeus),Henry House (Zeus),Fire,Male,3.0,MF,160.0,70.0,90.0,80.0,90.0,90.0,70.0,Kick +2/Catch +2,2.0
Sakuma Jirou (Inazuma Japan),Jordan Greenway (Inazuma Japon),Wood,Male,8.0,MF,180.0,80.0,90.0,100.0,90.0,100.0,70.0,Body +2/Speed +2,2.0
Kita Ichiban ,Jimmy Kyrk,Wood,Male,22.0,FW,170.0,100.0,90.0,90.0,90.0,100.0,70.0,Body +4,2.0
Einamu ,Mike,Wood,Male,20.0,FW,160.0,100.0,90.0,90.0,90.0,90.0,80.0,Guard +4,2.0
Sugimori Takeshi (Dark Emperors),Feldt (Empereurs Noirs),Wood,Male,7.0,GK,190.0,90.0,90.0,80.0,90.0,70.0,90.0,Guard +2/Control +2,2.0
Desuta ,Destra,Earth,Male,11.0,FW,190.0,110.0,90.0,80.0,90.0,80.0,90.0,Body +4,2.0
Engiru ,Panca,Wind,Male,23.0,MF,160.0,80.0,90.0,90.0,90.0,90.0,90.0,Catch +2/Body +2,2.0
Zanark Avalonic (Unused),Zanark Avalonic (Inutilisé),Wind,Male,23.0,GK,180.0,90.0,90.0,90.0,90.0,90.0,90.0,None,
Sorano Aoi (Manager),Skie Blue (Manager),Wind,Female,87.0,GK,180.0,90.0,90.0,90.0,90.0,90.0,90.0,None,
Yamana Akane (Manager),Rosie Redd (Manager),Wind,Female,87.0,GK,180.0,90.0,90.0,90.0,90.0,90.0,90.0,None,
Seto Midori (Manager),Jade Greene (Manager),Wind,Female,87.0,GK,180.0,90.0,90.0,90.0,90.0,90.0,90.0,None,
Endou Mamoru (Trainer),Mark Evans (Coach),Wind,Male,87.0,GK,180.0,90.0,90.0,90.0,90.0,90.0,90.0,None,
Kidou Yuuto (Trainer),Jude Sharp (Coach),Wind,Male,87.0,GK,180.0,90.0,90.0,90.0,90.0,90.0,90.0,None,
San (Unused),Sterne (Inutilisé),Wind,Male,87.0,GK,180.0,90.0,90.0,90.0,90.0,90.0,90.0,None,
Afuro Terumi (Coach),Byron Love  (Coach),Wind,Male,87.0,GK,180.0,90.0,90.0,90.0,90.0,90.0,90.0,None,
Ishido Shuuji (Coach),Alex Zabel (Coach),Wind,Male,87.0,GK,180.0,90.0,90.0,90.0,90.0,90.0,90.0,None,
Hikita Goushirou (Unused),Flint Charcoal (Inutilisé),Wind,Male,88.0,GK,180.0,90.0,90.0,90.0,90.0,90.0,90.0,None,
Ookazeya Giichi (Unused),Glaucous Gull (Inutilisé),Wind,Male,88.0,GK,180.0,90.0,90.0,90.0,90.0,90.0,90.0,None,
Rinno Tenki (Unused),Ashley Silverwood (Inutilisé),Wind,Female,88.0,GK,180.0,90.0,90.0,90.0,90.0,90.0,90.0,None,
Mutou Satoshi (Unused),Cinereous Slate (Inutilisé),Wind,Male,88.0,GK,180.0,90.0,90.0,90.0,90.0,90.0,90.0,None,
Matsukaze Tenma  (Armed),Arion Sherwind  (Armure),Wind,Male,88.0,GK,180.0,90.0,90.0,90.0,90.0,90.0,90.0,None,
Tsurugi Kyousuke  (Armed),Victor Blade  (Armure),Wind,Male,88.0,GK,180.0,90.0,90.0,90.0,90.0,90.0,90.0,None,
Shindou Takuto  (Armed),Riccardo DiRigo  (Armure),Wind,Male,88.0,GK,180.0,90.0,90.0,90.0,90.0,90.0,90.0,None,
Nishizono Shinsuke  (Armed),Jean-Pierre Lapin  (Armure),Wind,Male,88.0,GK,180.0,90.0,90.0,90.0,90.0,90.0,90.0,None,
Nishiki Ryouma  (Armed),Ryoma Nishiki  (Armure),Wind,Male,88.0,GK,180.0,90.0,90.0,90.0,90.0,90.0,90.0,None,
Kirino Ranmaru  (Armed),Gabriel Garcia  (Armure),Wind,Male,88.0,GK,180.0,90.0,90.0,90.0,90.0,90.0,90.0,None,
Amemiya Taiyou x Koumei  (Armed),Sol Daystar x Zhuge Liang  (Armure),Wind,Male,88.0,GK,180.0,90.0,90.0,90.0,90.0,90.0,90.0,None,
Nanobana Kinako  (Armed),Goldie Lemmon  (Armure),Wind,Female,88.0,GK,180.0,90.0,90.0,90.0,90.0,90.0,90.0,None,
Tsurugi Yuuichi  (Armed),Vladimir Blade  (Armure),Wind,Male,88.0,GK,180.0,90.0,90.0,90.0,90.0,90.0,90.0,None,
Hakuryuu  (Armed),Bailong  (Armure),Wind,Male,88.0,GK,180.0,90.0,90.0,90.0,90.0,90.0,90.0,None,
Alpha  (Armed),Alpha  (Armure),Wind,Male,88.0,GK,180.0,90.0,90.0,90.0,90.0,90.0,90.0,None,
Beta  (Armed),Beta  (Armure),Wind,Female,88.0,GK,180.0,90.0,90.0,90.0,90.0,90.0,90.0,None,
Gamma  (Armed),Gamma  (Armure),Wind,Male,88.0,GK,180.0,90.0,90.0,90.0,90.0,90.0,90.0,None,
Zanark Avalonic  (Armed),Zanark  (Armure),Wind,Male,88.0,GK,180.0,90.0,90.0,90.0,90.0,90.0,90.0,None,
Fran  (Armed),Flora  (Armure),Wind,Female,88.0,GK,180.0,90.0,90.0,90.0,90.0,90.0,90.0,None,
Fei Rune  (Armed),Fei Rune  (Armure),Wind,Male,88.0,GK,180.0,90.0,90.0,90.0,90.0,90.0,90.0,None,
Amemiya Taiyou  (Armed),Sol Daystar  (Armure),Wind,Male,88.0,GK,180.0,90.0,90.0,90.0,90.0,90.0,90.0,None,
Zaizen Touko ,Victoria Vanguard,Wind,Female,4.0,MF,160.0,80.0,90.0,100.0,90.0,90.0,80.0,Control +4,2.0
Zanou ,Hotel,Earth,Male,20.0,GK,170.0,90.0,90.0,90.0,90.0,80.0,100.0,Catch +2/Control +2,2.0
Dosu Koi ,Daisy Fields,Fire,Female,13.0,GK,150.0,60.0,90.0,80.0,90.0,70.0,110.0,Body +2/Guard +2,2.0
Kariya Masaki ,Aitor Cazador,Wood,Male,14.0,DF,180.0,70.0,90.0,90.0,100.0,90.0,70.0,Catch +2/Speed +2,2.0
Saki Yukio ,Candido Glow,Wood,Male,15.0,DF,170.0,80.0,90.0,90.0,100.0,100.0,70.0,Kick +2/Speed +2,2.0
Ganymede,Ganymede,Earth,Male,5.0,DF,160.0,80.0,90.0,60.0,100.0,80.0,80.0,Catch +4,2.0
Hera Tadashi (Neo Japan),Henry House (Neo Japon),Fire,Male,9.0,MF,180.0,80.0,90.0,90.0,100.0,80.0,80.0,Kick +2/Speed +2,2.0
Izuno Yuu ,Wilbur Watkins,Wood,Male,9.0,FW,170.0,90.0,90.0,80.0,100.0,70.0,80.0,Kick +2/Body +2,2.0
Elfel ,Lephiel,Earth,Male,11.0,DF,180.0,70.0,90.0,80.0,100.0,100.0,80.0,Guard +2/Speed +2,2.0
Hebimoth ,Behemoth,Wood,Male,11.0,DF,180.0,90.0,90.0,70.0,100.0,80.0,80.0,Catch +4,2.0
Fubuki Shirou (ILJ),Shawn Froste (ILJ),Wind,Male,18.0,FW,160.0,110.0,90.0,110.0,100.0,100.0,80.0,Kick +2/Guard +2,2.0
Kogure Yuuya (Inazuma Japan),Scott Banyan (Inazuma Japon),Wood,Male,8.0,DF,170.0,80.0,90.0,90.0,100.0,100.0,90.0,Catch +2/Guard +2,2.0
Straw ,Chétif,Wood,Male,19.0,DF,150.0,80.0,90.0,100.0,100.0,90.0,90.0,Catch +2/Speed +2,2.0
Smile ,Béate,Wood,Female,19.0,DF,190.0,80.0,90.0,90.0,100.0,100.0,90.0,Catch +2/Control +2,2.0
Ward ,Kilo,Wood,Male,20.0,DF,150.0,90.0,90.0,90.0,100.0,90.0,90.0,Kick +2/Catch +2,2.0
Tasuke ,Tasuke,Wood,Male,89.0,DF,140.0,90.0,90.0,90.0,100.0,90.0,90.0,Guard +4,2.0
Endou Mamoru (Inazuma Japan),Mark Evans (Inazuma Japon),Earth,Male,8.0,GK,190.0,80.0,90.0,90.0,100.0,60.0,100.0,Guard +2/Control +2,3.0
Nagumo Haruya ,Claude Beacons,Fire,Male,88.0,FW,190.0,100.0,90.0,80.0,100.0,80.0,100.0,Kick +2/Catch +2,2.0
Yuuki Jou ,Tynan Crowe,Wood,Male,15.0,MF,170.0,100.0,90.0,80.0,100.0,80.0,70.0,Catch +2/Control +2,3.0
Ikka Stacks ,Ichabod Stark,Earth,Male,12.0,MF,180.0,80.0,90.0,90.0,100.0,80.0,80.0,Catch +2/Speed +2,2.0
Dante Diavolo ,Dante Diavolo,Fire,Male,17.0,MF,170.0,80.0,90.0,80.0,100.0,80.0,80.0,Body +2/Guard +2,2.0
Deio Geki ,Danny Wood,Wind,Male,3.0,DF,160.0,90.0,90.0,70.0,100.0,70.0,90.0,Guard +4,2.0
Daikko Buuka ,Radd Ischer,Wood,Male,12.0,DF,170.0,80.0,90.0,90.0,100.0,70.0,90.0,Catch +2/Body +2,2.0
Shourinji Ayumu (Raimon 1),Tim Saunders (Raimon 1),Wood,Male,1.0,MF,180.0,70.0,90.0,90.0,100.0,80.0,70.0,Body +2/Speed +2,2.0
Aoyama Shunsuke ,Shunsuke Aoyama,Wood,Male,14.0,MF,180.0,80.0,90.0,90.0,100.0,80.0,70.0,Guard +2/Control +2,2.0
Tsunami Jousuke (Inazuma Japan),Hurley Kane (Inazuma Japon),Wind,Male,8.0,DF,180.0,80.0,90.0,80.0,100.0,70.0,90.0,Kick +2/Guard +2,2.0
Posei Donichi ,Paul Siddon,Earth,Male,3.0,GK,160.0,80.0,90.0,70.0,100.0,50.0,100.0,Kick +2/Guard +2,2.0
Atsuishi Shigeto ,Ethan Whitering,Wood,Male,9.0,MF,180.0,80.0,90.0,80.0,100.0,80.0,100.0,Control +2/Speed +2,2.0
Kyan Rinka ,Dora Delight,Fire,Female,13.0,MF,150.0,80.0,90.0,70.0,100.0,70.0,80.0,Catch +2/Guard +2,2.0
Onizuka Heita ,Beamer Daye,Fire,Male,15.0,DF,180.0,100.0,90.0,90.0,110.0,100.0,60.0,Catch +2/Speed +2,2.0
Ryuuzaki Ouji ,Dracon Yale,Wind,Male,22.0,DF,150.0,80.0,90.0,100.0,110.0,80.0,80.0,Catch +2/Speed +2,3.0
Kogure Yuuya (Adult),Scott Banyan (Adult),Wood,Male,89.0,DF,190.0,70.0,90.0,80.0,110.0,90.0,80.0,Body +2/Guard +2,2.0
Kazemaru Ichirouta (ILJ),Nathan Swift (ILJ),Wind,Male,18.0,DF,170.0,90.0,90.0,100.0,110.0,110.0,90.0,Body +2/Speed +2,2.0
Medam ,Oscar,Earth,Male,20.0,DF,170.0,90.0,90.0,100.0,110.0,90.0,90.0,Catch +2/Guard +2,2.0
Gomaki Tetsurou ,Aimé Quintet,Wind,Male,22.0,DF,150.0,90.0,90.0,70.0,110.0,90.0,90.0,Catch +2/Guard +2,3.0
Torb ,Sor,Wind,Male,89.0,DF,170.0,90.0,90.0,90.0,110.0,100.0,90.0,Catch +4,3.0
Tsunami Jousuke (ILJ),Hurley Kane (ILJ),Wind,Male,18.0,DF,150.0,100.0,90.0,90.0,110.0,90.0,80.0,Catch +2/Guard +2,2.0
Walter Mountain ,Walter Mountain,Earth,Male,16.0,DF,190.0,60.0,90.0,90.0,110.0,60.0,90.0,Guard +4,2.0
Torb x Tochan ,Sor x Papa,Wind,Male,102.0,DF,170.0,90.0,90.0,90.0,110.0,100.0,90.0,Catch +4,2.0
Kinako x Dragon ,Goldie x Dragon,Fire,Female,102.0,DF,180.0,100.0,90.0,90.0,110.0,90.0,90.0,Body +4,2.0
Nanobana Kinako ,Goldie Lemmon,Fire,Female,89.0,DF,180.0,100.0,90.0,90.0,110.0,90.0,90.0,Body +4,3.0
Someoka Ryuugo (Dark Emperors),Kevin Dragonfly (Empereurs Noirs),Wood,Male,7.0,FW,180.0,100.0,100.0,80.0,60.0,80.0,80.0,Kick +2/Guard +2,2.0
Mac Roniejo ,Mac Robingo,Fire,Male,10.0,FW,180.0,110.0,100.0,90.0,60.0,90.0,80.0,Control +2/Speed +2,2.0
Kidou Yuuto (Inazuma Japan),Jude Sharp (Inazuma Japon),Wind,Male,8.0,MF,180.0,90.0,100.0,100.0,70.0,90.0,80.0,Body +2/Control +2,2.0
Hakuryuu ,Bailong,Wind,Male,15.0,FW,180.0,110.0,100.0,100.0,70.0,100.0,70.0,Kick +2/Body +2,3.0
Enrico Olivier ,Enrico Oliver,Earth,Male,17.0,MF,170.0,90.0,100.0,70.0,70.0,90.0,70.0,Guard +2/Control +2,2.0
Minamisawa Atsushi ,Doug McArthur,Wind,Male,21.0,FW,150.0,90.0,100.0,90.0,70.0,100.0,70.0,Body +2/Control +2,2.0
Gianluca Zanardi ,Gianluca Zanardi,Wood,Male,17.0,MF,180.0,70.0,100.0,80.0,70.0,90.0,80.0,Kick +2/Control +2,2.0
Fideo Ardena ,Paolo Bianchi,Wood,Male,17.0,FW,170.0,100.0,100.0,100.0,80.0,90.0,60.0,Speed +4,2.0
Herume Matsuaki ,Arion Matlock,Wood,Male,3.0,MF,160.0,70.0,100.0,90.0,80.0,90.0,70.0,Body +4,2.0
Sakuma Jirou (Inazuma Japan),David Samford (Inazuma Japon),Wood,Male,8.0,FW,170.0,100.0,100.0,90.0,80.0,90.0,70.0,Body +2/Speed +2,2.0
Sandayuu Mishima ,Oni Triumvir,Wood,Male,12.0,MF,180.0,90.0,100.0,90.0,80.0,90.0,70.0,Speed +4,2.0
Angelo Gabrini ,Angelo Gabrini,Wind,Male,17.0,MF,190.0,90.0,100.0,100.0,80.0,100.0,70.0,Kick +2/Body +2,2.0
Mitsuyoshi Yozakura ,Maxim Millennium,Wood,Male,22.0,FW,180.0,100.0,100.0,90.0,80.0,90.0,70.0,Catch +2/Control +2,3.0
Mistrene Callous ,Mystral Callous,Earth,Male,12.0,FW,180.0,100.0,100.0,80.0,80.0,100.0,80.0,Control +4,2.0
Gouenji Shuuya (ILJ),Axel Blaze (ILJ),Fire,Male,18.0,FW,170.0,110.0,100.0,110.0,80.0,100.0,80.0,Kick +2/Catch +2,2.0
Someoka Ryuugo (ILJ),Kevin Dragonfly (ILJ),Wood,Male,18.0,FW,170.0,110.0,100.0,100.0,80.0,90.0,80.0,Kick +2/Control +2,2.0
Drill,Foret,Wood,Male,19.0,MF,150.0,90.0,100.0,90.0,80.0,90.0,80.0,Body +2/Control +2,2.0
Asta ,Aster,Fire,Male,24.0,FW,180.0,110.0,100.0,100.0,80.0,100.0,80.0,Control +4,2.0
Suzuno Fuusuke ,Bryce Whitingale,Wind,Male,88.0,FW,180.0,100.0,100.0,100.0,80.0,100.0,80.0,Guard +2/Speed +2,2.0
Otomura Gakuya ,Cadence Soundtown,Wood,Male,88.0,MF,160.0,80.0,100.0,90.0,80.0,90.0,80.0,Catch +2/Control +2,2.0
Super Zanark ,Super Zanark,Earth,Male,102.0,FW,180.0,110.0,100.0,100.0,80.0,90.0,80.0,Kick +2/Catch +2,2.0
Meizu ,Sas,Wood,Male,23.0,MF,140.0,80.0,100.0,90.0,80.0,90.0,90.0,Catch +2/Control +2,2.0
Genius ,Gentiane,Earth,Male,24.0,FW,160.0,110.0,100.0,90.0,80.0,90.0,90.0,Guard +2/Speed +2,2.0
Gouenji Shuuya (Inazuma Japan),Axel Blaze (Inazuma Japon),Fire,Male,8.0,FW,180.0,100.0,100.0,90.0,80.0,80.0,70.0,Kick +2/Speed +2,2.0
Seidou Dan ,Dawntavius Spectrum,Fire,Male,15.0,MF,170.0,90.0,100.0,100.0,80.0,90.0,70.0,Kick +2/Catch +2,3.0
Zanark Avalonic ,Zanark Avalonic,Earth,Male,23.0,FW,180.0,110.0,100.0,100.0,80.0,90.0,80.0,Kick +2/Catch +2,3.0
Zanark x Sousou ,Zanark x Cao Cao,Earth,Male,102.0,FW,180.0,110.0,100.0,100.0,80.0,90.0,80.0,Kick +2/Catch +2,2.0
Ulvida,Bellatrix,Wind,Female,5.0,MF,160.0,90.0,100.0,100.0,80.0,90.0,70.0,Body +4,2.0
Netsuha Natsuhiko ,Neppten,Wood,Male,6.0,FW,170.0,90.0,100.0,100.0,80.0,90.0,70.0,Control +4,2.0
Fudou Akio (Shin Teikoku),Caleb Stonewall (Nouv. Royal Academy),Fire,Male,88.0,MF,170.0,80.0,100.0,90.0,80.0,90.0,70.0,Kick +2/Body +2,2.0
Atsuishi Shigeto ,Heat,Wood,Male,6.0,MF,180.0,80.0,100.0,80.0,80.0,80.0,90.0,Catch +2/Control +2,2.0
Giorgio Giannini ,Giorgio Giannini,Earth,Male,17.0,MF,170.0,70.0,100.0,80.0,80.0,70.0,90.0,Body +2/Control +2,2.0
Choi Chang Soo ,Changsu Choi,Fire,Male,10.0,MF,150.0,80.0,100.0,110.0,90.0,70.0,60.0,Body +2/Guard +2,2.0
Kitaki Tsuneo ,Bob Sled,Fire,Male,21.0,MF,150.0,70.0,100.0,100.0,90.0,100.0,70.0,Catch +2/Body +2,3.0
Wanda Naoto ,Dakkar Nemo,Wind,Male,22.0,MF,170.0,90.0,100.0,90.0,90.0,100.0,70.0,Body +2/Control +2,3.0
Droll,Droll,Wind,Male,6.0,MF,170.0,80.0,100.0,80.0,90.0,80.0,80.0,Kick +2/Body +2,2.0
Kiyama Hiroto (ILJ),Xavier Foster (ILJ),Fire,Male,18.0,FW,170.0,110.0,100.0,100.0,90.0,100.0,80.0,Control +2/Speed +2,2.0
Sakuma Jirou (ILJ),David Samford (ILJ),Wood,Male,18.0,FW,170.0,110.0,100.0,100.0,90.0,100.0,80.0,Body +2/Guard +2,2.0
Neira ,India,Fire,Female,20.0,MF,170.0,80.0,100.0,90.0,90.0,100.0,80.0,Body +2/Speed +2,2.0
Kibayama Douzan ,Pinkus Mountbatten,Earth,Male,89.0,MF,180.0,100.0,100.0,80.0,90.0,70.0,80.0,Kick +2/Catch +2,2.0
Yuuichi x Kyousuke ,Vladimir x Victor,Fire,Male,102.0,FW,160.0,110.0,100.0,100.0,90.0,90.0,80.0,Kick +4,2.0
Hijikata Raiden ,Thor Stoutberg,Wind,Male,8.0,MF,170.0,90.0,100.0,80.0,90.0,70.0,90.0,Catch +2/Body +2,2.0
Ishidaira Hanzou ,Zack Cummings,Earth,Male,9.0,DF,170.0,80.0,100.0,70.0,90.0,70.0,90.0,Body +4,2.0
Drache Gyunter ,Drachen Gunther,Fire,Male,12.0,MF,190.0,80.0,100.0,90.0,90.0,70.0,90.0,Guard +4,2.0
Manto ,Barrette,Wood,Female,19.0,MF,180.0,90.0,100.0,100.0,90.0,100.0,90.0,Control +2/Speed +2,2.0
Chibitto ,Minus,Wood,Male,19.0,MF,150.0,80.0,100.0,90.0,90.0,90.0,90.0,Guard +2/Control +2,2.0
Kuosu ,Lima,Wind,Male,20.0,MF,160.0,90.0,100.0,90.0,90.0,90.0,90.0,Kick +2/Control +2,2.0
Kai ,Yang,Earth,Male,15.0,FW,170.0,100.0,100.0,100.0,90.0,90.0,60.0,Catch +2/Control +2,3.0
Matsukaze Tenma ,Arion Sherwind,Wind,Male,14.0,MF,170.0,90.0,100.0,100.0,90.0,90.0,70.0,Body +4,3.0
Amemiya Taiyou ,Sol Daystar,Fire,Male,21.0,FW,160.0,100.0,100.0,90.0,90.0,80.0,70.0,Control +2/Speed +2,3.0
Mahoro Tadashi ,Harrold Houdini,Wood,Male,21.0,MF,170.0,90.0,100.0,100.0,90.0,90.0,70.0,Control +4,3.0
Ide Norikazu ,Octavus Kraken,Fire,Male,22.0,DF,170.0,90.0,100.0,90.0,90.0,90.0,70.0,Guard +4,3.0
Mikado Haruma ,Rex Remington,Earth,Male,22.0,FW,160.0,100.0,100.0,90.0,90.0,90.0,70.0,Body +2/Control +2,3.0
Taiyou x Koumei ,Sol x Zhuge,Fire,Male,102.0,FW,160.0,100.0,100.0,90.0,90.0,80.0,70.0,Control +2/Speed +2,2.0
Alpha ,Alpha,Fire,Male,20.0,FW,170.0,110.0,100.0,100.0,90.0,90.0,80.0,Control +4,3.0
Beta ,Beta,Wind,Female,20.0,FW,190.0,110.0,100.0,100.0,90.0,100.0,80.0,Kick +2/Speed +2,3.0
Fran x Kuroi Bara,Flora x Rose Noire,Wind,Female,24.0,FW,170.0,110.0,100.0,90.0,90.0,100.0,80.0,Catch +2/Speed +2,2.0
