Name (JPN romaji),Name (FR),posicion,Element,ATT,CTL,DEF,Kick,Body,Control,Guard,Speed,Catch
Saki Yukio ,Candido Glow,DF,Wood,60,69,78,82.0,90.0,90.0,100.0,102.0,70.0
Ganymede,Ganymede,DF,Earth,54,59,78,80.0,90.0,60.0,100.0,80.0,84.0
Hera Tadashi (Neo Japan),Henry House (Neo Japon),MC,Fire,70,74,71,82.0,90.0,90.0,100.0,82.0,80.0
Izuno Yuu ,Wilbur Watkins,DL,Wood,71,70,61,92.0,92.0,80.0,100.0,70.0,80.0
Elfel ,Lephiel,DF,Earth,51,67,80,70.0,90.0,80.0,102.0,102.0,80.0
Hebimoth ,Behemoth,DF,Wood,61,61,78,90.0,90.0,70.0,100.0,80.0,84.0
Fubuki Shirou (ILJ),Shawn Froste (ILJ),DL,Wind,89,81,62,112.0,90.0,110.0,102.0,100.0,80.0
Kogure Yuuya (Inazuma Japan),Scott Banyan (Inazuma Japon),DF,Wood,59,69,80,80.0,90.0,90.0,102.0,100.0,92.0
Straw ,Chétif,DF,Wood,60,69,78,80.0,90.0,100.0,100.0,92.0,92.0
Smile ,Béate,DF,Wood,59,69,78,80.0,90.0,92.0,100.0,100.0,92.0
Ward ,Kilo,DF,Wood,65,67,78,92.0,90.0,90.0,100.0,90.0,92.0
Tasuke ,Tasuke,DF,Wood,64,67,81,90.0,90.0,90.0,104.0,90.0,90.0
Endou Mamoru (Inazuma Japan),Mark Evans (Inazuma Japon),PR,Earth,41,41,81,80.0,90.0,92.0,102.0,60.0,100.0
Nagumo Haruya ,Claude Beacons,DL,Fire,78,71,61,102.0,90.0,80.0,100.0,80.0,102.0
Yuuki Jou ,Tynan Crowe,MC,Wood,80,71,71,100.0,90.0,82.0,100.0,80.0,72.0
Ikka Stacks ,Ichabod Stark,MC,Earth,68,74,71,80.0,90.0,90.0,100.0,82.0,82.0
Dante Diavolo ,Dante Diavolo,MC,Fire,67,72,73,80.0,92.0,80.0,102.0,80.0,80.0
Deio Geki ,Danny Wood,DF,Wind,61,59,81,90.0,90.0,70.0,104.0,70.0,90.0
Daikko Buuka ,Radd Ischer,DF,Wood,59,64,78,80.0,92.0,90.0,100.0,70.0,92.0
Shourinji Ayumu (Raimon 1),Tim Saunders (Raimon 1),MC,Wood,62,74,71,70.0,92.0,90.0,100.0,82.0,70.0
Aoyama Shunsuke ,Shunsuke Aoyama,MC,Wood,69,74,73,80.0,90.0,92.0,102.0,80.0,70.0
Tsunami Jousuke (Inazuma Japan),Hurley Kane (Inazuma Japon),DF,Wind,58,61,80,82.0,90.0,80.0,102.0,70.0,90.0
Posei Donichi ,Paul Siddon,PR,Earth,40,37,81,82.0,90.0,70.0,102.0,50.0,100.0
Atsuishi Shigeto ,Ethan Whitering,MC,Wood,67,72,71,80.0,90.0,82.0,100.0,82.0,100.0
Kyan Rinka ,Dora Delight,MC,Fire,65,67,73,80.0,90.0,70.0,102.0,70.0,82.0
Onizuka Heita ,Beamer Daye,DF,Fire,70,69,86,100.0,90.0,90.0,110.0,102.0,62.0
Ryuuzaki Ouji ,Dracon Yale,DF,Wind,60,67,86,80.0,90.0,100.0,110.0,82.0,82.0
Kogure Yuuya (Adult),Scott Banyan (Adult),DF,Wood,51,66,87,70.0,92.0,80.0,112.0,90.0,80.0
Kazemaru Ichirouta (ILJ),Nathan Swift (ILJ),DF,Wind,66,74,86,90.0,92.0,100.0,110.0,112.0,90.0
Medam ,Oscar,DF,Earth,66,69,87,90.0,90.0,100.0,112.0,90.0,92.0
Gomaki Tetsurou ,Aimé Quintet,DF,Wind,61,63,87,90.0,90.0,70.0,112.0,90.0,92.0
Torb ,Sor,DF,Wind,64,69,86,90.0,90.0,90.0,110.0,100.0,94.0
Tsunami Jousuke (ILJ),Hurley Kane (ILJ),DF,Wind,70,67,87,100.0,90.0,90.0,112.0,90.0,82.0
Walter Mountain ,Walter Mountain,DF,Earth,47,61,89,60.0,90.0,90.0,114.0,60.0,90.0
Torb x Tochan ,Sor x Papa,DF,Wind,64,69,86,90.0,90.0,90.0,110.0,100.0,94.0
Kinako x Dragon ,Goldie x Dragon,DF,Fire,70,68,86,100.0,94.0,90.0,110.0,90.0,90.0
Nanobana Kinako ,Goldie Lemmon,DF,Fire,70,68,86,100.0,94.0,90.0,110.0,90.0,90.0
Someoka Ryuugo (Dark Emperors),Kevin Dragonfly (Empereurs Noirs),DL,Wood,78,75,38,102.0,100.0,80.0,62.0,80.0,80.0
Mac Roniejo ,Mac Robingo,DL,Fire,85,80,36,110.0,100.0,92.0,60.0,92.0,80.0
Kidou Yuuto (Inazuma Japan),Jude Sharp (Inazuma Japon),MC,Wind,77,83,50,90.0,102.0,102.0,70.0,90.0,80.0
Hakuryuu ,Bailong,DL,Wind,87,84,43,112.0,102.0,100.0,70.0,100.0,70.0
Enrico Olivier ,Enrico Oliver,MC,Earth,72,76,51,90.0,100.0,72.0,72.0,90.0,70.0
Minamisawa Atsushi ,Doug McArthur,DL,Wind,72,83,43,90.0,102.0,92.0,70.0,100.0,70.0
Gianluca Zanardi ,Gianluca Zanardi,MC,Wood,62,78,50,72.0,100.0,82.0,70.0,90.0,80.0
Fideo Ardena ,Paolo Bianchi,DL,Wood,80,82,49,100.0,100.0,100.0,80.0,94.0,60.0
Herume Matsuaki ,Arion Matlock,MC,Wood,62,81,57,70.0,104.0,90.0,80.0,90.0,70.0
Sakuma Jirou (Inazuma Japan),David Samford (Inazuma Japon),DL,Wood,78,80,49,100.0,102.0,90.0,80.0,92.0,70.0
Sandayuu Mishima ,Oni Triumvir,MC,Wood,75,80,57,90.0,100.0,90.0,80.0,94.0,70.0
Angelo Gabrini ,Angelo Gabrini,MC,Wind,78,84,57,92.0,102.0,100.0,80.0,100.0,70.0
Mitsuyoshi Yozakura ,Maxim Millennium,DL,Wood,78,80,49,100.0,100.0,92.0,80.0,90.0,72.0
Mistrene Callous ,Mystral Callous,DL,Earth,77,80,49,100.0,100.0,84.0,80.0,100.0,80.0
Gouenji Shuuya (ILJ),Axel Blaze (ILJ),DL,Fire,89,85,49,112.0,100.0,110.0,80.0,100.0,82.0
Someoka Ryuugo (ILJ),Kevin Dragonfly (ILJ),DL,Wood,88,82,49,112.0,100.0,102.0,80.0,90.0,80.0
Drill,Foret,MC,Wood,75,81,57,90.0,102.0,92.0,80.0,90.0,80.0
Asta ,Aster,DL,Fire,87,84,49,110.0,100.0,104.0,80.0,100.0,80.0
Suzuno Fuusuke ,Bryce Whitingale,DL,Wind,80,84,50,100.0,100.0,100.0,82.0,102.0,80.0
Otomura Gakuya ,Cadence Soundtown,MC,Wood,69,80,57,80.0,100.0,92.0,80.0,90.0,82.0
Super Zanark ,Super Zanark,DL,Earth,87,81,49,112.0,100.0,100.0,80.0,90.0,82.0
Meizu ,Sas,MC,Wood,69,80,57,80.0,100.0,92.0,80.0,90.0,92.0
Genius ,Gentiane,DL,Earth,85,80,50,110.0,100.0,90.0,82.0,92.0,90.0
Gouenji Shuuya (Inazuma Japan),Axel Blaze (Inazuma Japon),DL,Fire,79,78,49,102.0,100.0,90.0,80.0,82.0,70.0
Seidou Dan ,Dawntavius Spectrum,MC,Fire,78,81,57,92.0,100.0,100.0,80.0,90.0,72.0
Zanark Avalonic ,Zanark Avalonic,DL,Earth,87,81,49,112.0,100.0,100.0,80.0,90.0,82.0
Zanark x Sousou ,Zanark x Cao Cao,DL,Earth,87,81,49,112.0,100.0,100.0,80.0,90.0,82.0
Ulvida,Bellatrix,MC,Wind,77,83,57,90.0,104.0,100.0,80.0,90.0,70.0
Netsuha Natsuhiko ,Neppten,DL,Wood,74,82,49,90.0,100.0,104.0,80.0,90.0,70.0
Fudou Akio (Shin Teikoku),Caleb Stonewall (Nouv. Royal Academy),MC,Fire,70,80,57,82.0,102.0,90.0,80.0,90.0,70.0
Atsuishi Shigeto ,Heat,MC,Wood,67,76,57,80.0,100.0,82.0,80.0,80.0,92.0
Giorgio Giannini ,Giorgio Giannini,MC,Earth,60,74,57,70.0,102.0,82.0,80.0,70.0,90.0
Choi Chang Soo ,Changsu Choi,MC,Fire,72,80,66,80.0,102.0,110.0,92.0,70.0,60.0
Kitaki Tsuneo ,Bob Sled,MC,Fire,63,84,64,70.0,102.0,100.0,90.0,100.0,72.0
Wanda Naoto ,Dakkar Nemo,MC,Wind,75,83,64,90.0,102.0,92.0,90.0,100.0,70.0
Droll,Droll,MC,Wind,68,76,64,82.0,102.0,80.0,90.0,80.0,80.0
Kiyama Hiroto (ILJ),Xavier Foster (ILJ),DL,Fire,86,84,55,110.0,100.0,102.0,90.0,102.0,80.0
Sakuma Jirou (ILJ),David Samford (ILJ),DL,Wood,86,84,56,110.0,102.0,100.0,92.0,100.0,80.0
Neira ,India,MC,Fire,68,83,64,80.0,102.0,90.0,90.0,102.0,80.0
Kibayama Douzan ,Pinkus Mountbatten,MC,Earth,81,73,64,102.0,100.0,80.0,90.0,70.0,82.0
Yuuichi x Kyousuke ,Vladimir x Victor,DL,Fire,89,81,55,114.0,100.0,100.0,90.0,90.0,80.0
Hijikata Raiden ,Thor Stoutberg,MC,Wind,73,74,64,90.0,102.0,80.0,90.0,70.0,92.0
Ishidaira Hanzou ,Zack Cummings,DF,Earth,56,65,70,80.0,104.0,70.0,90.0,70.0,90.0
Drache Gyunter ,Drachen Gunther,MC,Fire,68,75,67,80.0,100.0,90.0,94.0,70.0,90.0
Manto ,Barrette,MC,Wood,77,84,64,90.0,100.0,102.0,90.0,102.0,90.0
Chibitto ,Minus,MC,Wood,69,80,66,80.0,100.0,92.0,92.0,90.0,90.0
Kuosu ,Lima,MC,Wind,77,80,64,92.0,100.0,92.0,90.0,90.0,90.0
Kai ,Yang,DL,Earth,80,82,55,100.0,100.0,102.0,90.0,90.0,62.0
Matsukaze Tenma ,Arion Sherwind,MC,Wind,77,83,64,90.0,104.0,100.0,90.0,90.0,70.0
Amemiya Taiyou ,Sol Daystar,DL,Fire,78,78,55,100.0,100.0,92.0,90.0,82.0,70.0
Mahoro Tadashi ,Harrold Houdini,MC,Wood,77,82,64,90.0,100.0,104.0,90.0,90.0,70.0
Ide Norikazu ,Octavus Kraken,DF,Fire,64,71,73,90.0,100.0,90.0,94.0,90.0,70.0
Mikado Haruma ,Rex Remington,DL,Earth,78,80,55,100.0,102.0,92.0,90.0,90.0,70.0
Taiyou x Koumei ,Sol x Zhuge,DL,Fire,78,78,55,100.0,100.0,92.0,90.0,82.0,70.0
Alpha ,Alpha,DL,Fire,87,82,55,110.0,100.0,104.0,90.0,90.0,80.0
Beta ,Beta,DL,Wind,87,84,55,112.0,100.0,100.0,90.0,102.0,80.0
Fran x Kuroi Bara,Flora x Rose Noire,DL,Wind,85,82,55,110.0,100.0,90.0,90.0,102.0,82.0
Fran ,Flora,DL,Wind,85,82,55,110.0,100.0,90.0,90.0,102.0,82.0
Tsurugi Yuuichi ,Vladimir Blade,DL,Fire,89,81,55,114.0,100.0,100.0,90.0,90.0,80.0
Saryuu Evan (SARU),Siméon Ayp,DL,Earth,87,82,55,110.0,100.0,104.0,90.0,90.0,80.0
Saryuu Evan x S Idenshi,Simeon x Gene S,DL,Earth,87,82,55,110.0,100.0,104.0,90.0,90.0,80.0
Lubbock Henktacker ,Phil A. Minion,DF,Fire,54,69,70,70.0,102.0,100.0,90.0,70.0,92.0
Orca ,November,MC,Fire,76,80,64,92.0,100.0,90.0,90.0,92.0,90.0
Dorimu ,Foxtrot,MC,Wind,77,84,66,90.0,100.0,100.0,92.0,102.0,90.0
Taki Yoshihiko ,Bradford Ash,DL,Earth,75,82,55,92.0,100.0,100.0,90.0,92.0,60.0
Rhionne,Rhine,MC,Wind,60,81,64,70.0,102.0,80.0,90.0,102.0,80.0
San ,Sterne,DL,Wood,87,84,55,112.0,100.0,100.0,90.0,102.0,80.0
Shinjami ,Sapta,MC,Fire,75,81,64,90.0,102.0,92.0,90.0,90.0,90.0
Shourinji Ayumu (Dark Emperors),Tim Saunders (Empereurs Noirs),MC,Wood,67,76,73,80.0,100.0,80.0,102.0,82.0,90.0
Ginis Jinkins ,Jynx Jenkins,DF,Wood,57,65,80,80.0,100.0,80.0,102.0,70.0,92.0
Alessandro Rossa ,Alessandro Rossa,MC,Wood,61,75,71,72.0,100.0,80.0,100.0,80.0,82.0
Belzebu ,Bael,DF,Earth,57,70,86,80.0,102.0,80.0,110.0,92.0,80.0
Makari Ginjirou ,Iggie Loo,DF,Wind,59,69,87,80.0,100.0,90.0,112.0,82.0,70.0
Rinne Makoto ,Shady Shwartz,MC,Earth,77,86,50,90.0,112.0,100.0,70.0,90.0,62.0
Baddap Sleed ,Bash Lancer,DL,Wood,86,84,43,112.0,110.0,90.0,70.0,92.0,70.0
Kageyama Hikaru ,Lucien Dark,DL,Wood,79,88,49,102.0,110.0,90.0,80.0,112.0,60.0
Henmi Wataru ,Herman Waldon,MC,Wind,75,84,59,90.0,110.0,90.0,82.0,92.0,70.0
Mark Kruger ,Mark Krueger,MC,Wood,75,80,57,92.0,112.0,80.0,80.0,80.0,70.0
Windy Faster ,Zephyr Vitesse,DF,Wind,46,75,62,60.0,110.0,80.0,80.0,104.0,70.0
Mephisto ,Malphas,MC,Wind,75,82,59,90.0,110.0,92.0,82.0,80.0,80.0
Maxi Kuu ,Maximino,MC,Wind,62,82,57,72.0,110.0,82.0,80.0,90.0,70.0
Nice Dolphin ,Dolphin Hensen,MC,Wind,64,84,57,70.0,110.0,102.0,80.0,80.0,82.0
Winel ,Wenel,MC,Fire,75,84,57,90.0,110.0,90.0,80.0,92.0,82.0
Clark Wonderbot ,Clark von Wunderbar,DL,Wind,85,81,49,110.0,110.0,90.0,80.0,80.0,114.0
Shuu,Tezcat,DL,Wood,77,88,55,92.0,110.0,112.0,90.0,90.0,70.0
Nishiki x Sakamoto ,Ryoma x Sakamoto,MC,Earth,78,84,64,92.0,112.0,100.0,90.0,80.0,70.0
Fudou Akio (ILJ),Caleb Stonewall (ILJ),MC,Fire,84,89,64,100.0,112.0,102.0,90.0,100.0,80.0
Tenma x Shuu ,Arion x Tezcat,MC,Wind,76,84,64,92.0,112.0,90.0,90.0,90.0,80.0
Tenma x Arthur ,Arion x Arthur,MC,Wind,76,84,64,92.0,112.0,90.0,90.0,90.0,80.0
Goburis ,Asta,MC,Earth,75,86,64,90.0,110.0,92.0,90.0,102.0,80.0
Okiddo ,Orchidée,MC,Wind,85,88,66,102.0,110.0,100.0,92.0,100.0,80.0
Laven ,Lilas,MC,Wood,63,89,64,70.0,112.0,100.0,90.0,100.0,82.0
Afuro Terumi (Adult),Byron Love (Adulte),MC,Wood,86,86,64,104.0,110.0,100.0,90.0,90.0,80.0
Kidou Yuuto (ILJ),Jude Sharp (ILJ),MC,Wind,85,89,64,100.0,110.0,112.0,90.0,92.0,90.0
Dande ,Pissenlit,MC,Fire,75,87,64,90.0,114.0,90.0,90.0,100.0,90.0
Nishiki Ryouma ,Ryoma Nishiki,MC,Earth,78,84,64,92.0,112.0,100.0,90.0,80.0,70.0
Kishibe Taiga ,Bay Laurel,MC,Earth,73,85,64,90.0,114.0,80.0,90.0,100.0,70.0
Matsukaze Tenma (Tenmas),Arion Sherwind (Sherwinds),MC,Wind,76,84,64,92.0,112.0,90.0,90.0,90.0,80.0
Rei Rukh ,Ar Ecks,MC,Earth,79,86,64,94.0,110.0,100.0,90.0,90.0,80.0
Gamma ,Gamma,DL,Wood,85,86,56,110.0,112.0,90.0,92.0,100.0,90.0
Viola ,Fuchsia,MC,Wind,76,86,71,92.0,110.0,90.0,100.0,100.0,82.0
Kamomi ,Camomille,MC,Earth,77,88,73,90.0,110.0,100.0,102.0,102.0,90.0
Yamana Akane ,Rodie Redd,MC,Wind,70,84,71,80.0,110.0,100.0,100.0,84.0,70.0
