ID,Name(Romaji),Name(Localised),Nickname,Gender,Game,Type,Position,Alt Position,Element,Preferred Playstyle,First 3 Moves Learnt,Kick,Control,Technique,Pressure,Physical,Agility,Intelligence,Total Stats,Main Path,Alternate Paths
1,Mamoru Endo,Mark Evans,円堂,男 (Male),イナズマイレブン,選手 (Player),GK,FW,山 (Mountain),Justice,Strong Punch | God Hand | Fireball Knuckle,90.0,97.0,91.0,98.0,105.0,111.0,97.0,689,Keep > Keep,Keep > Keep | Shoot > Shoot
507,Ryu Date,Ace Irvin,伊達,男 (Male),イナズマイレブン,選手 (Player),MF,DF,火 (Fire),Breach,Crosscut Feint | Flame Dance | Heel Drop,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Defense,Offense > Offense | Defense > Defense
508,Shigeki Otoshita,Spike Pitt,音下,男 (Male),イナズマイレブン,選手 (Player),FW,MF,山 (Mountain),Tension,Deceptive Step | Tarzan Kick | Mole Fake,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
509,Hokora Yamaguchi,Innes Caving,山 (Mountain)口,男 (Male),イナズマイレブン,選手 (Player),GK,MF,火 (Fire),Breach,Heel Flick | Burnout | Heel Drop,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Offense > Keep,Keep > Keep | Offense > Offense
510,Akio Kagawa,Keanu Dell,香川,男 (Male),イナズマイレブン,選手 (Player),FW,DF,火 (Fire),Justice,Shoulder Tackle | Grenade Shot | Volcano Cut,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Defense > Shoot,Shoot > Shoot | Defense > Defense
511,Shintaro Onda,Casey Novak,恩田,男 (Male),イナズマイレブン,選手 (Player),DF,MF,林 (Forest),Breach,Shoulder Tackle | Deceptor Dribble | Harvest,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Offense,Defense > Defense | Offense > Offense
512,Makiya Suisei,Ed Halley,彗星,男 (Male),イナズマイレブン,選手 (Player),MF,FW,風 (Wind),Bond,Nutmeg | Spiral Shot | Dash Storm,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Shoot,Offense > Offense | Shoot > Shoot
513,Yamahiko Koda,Burt Mocking,山 (Mountain)彦,男 (Male),イナズマイレブン,選手 (Player),DF,MF,林 (Forest),Bond,Deceptive Step | Asteroid Belt | Clone Faker,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Offense > Defense,Defense > Defense | Offense > Offense
514,Kazuo Tatamida,Oscar Petty,畳田,男 (Male),イナズマイレブン,選手 (Player),GK,MF,火 (Fire),Breach,Strong Punch | Double Touch | Double Rocket,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Offense,Keep > Keep | Offense > Offense
515,Yasuo Tokugawa,Waite Forrit,徳川,男 (Male),イナズマイレブン,選手 (Player),MF,DF,山 (Mountain),Breach,Shoulder Tackle | Monkey Turn | Circus Block,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Defense > Offense,Offense > Offense | Defense > Defense
516,Fumiya Ohisa,Bennett Byers,大久,男 (Male),イナズマイレブン,選手 (Player),GK,MF,風 (Wind),Justice,Power Catch | Whirlwind Twister | Electric Trap,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Offense,Keep > Keep | Offense > Offense
517,Uichi Haniwa,Mo Eisner,埴輪,男 (Male),イナズマイレブン,選手 (Player),GK,DF,火 (Fire),Tension,Power Catch | Super Sumo Stomp | Nitro Slap,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Defense,Keep > Keep | Defense > Defense
518,Suguru Yumi,Miles Seaford,弓,男 (Male),イナズマイレブン,選手 (Player),DF,MF,風 (Wind),Tension,Feint Play | Flurry Dash | Perimeter Zone,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Offense,Defense > Defense | Offense > Offense
519,Ukito Sansho,Sayer Lemon,山 (Mountain)椒,男 (Male),イナズマイレブン,選手 (Player),DF,MF,火 (Fire),Rough Play,Cunning Pull | Double Touch | Racing Flame,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Offense,Defense > Defense | Offense > Offense
520,Kimimaro Kuge,Carey Ginu,久家,男 (Male),イナズマイレブン,選手 (Player),FW,MF,林 (Forest),Justice,Heel Flick | Phantom Shot | Ultra Moon,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
521,Hidetaka Sarayama,Cass Crocker,皿山 (Mountain),男 (Male),イナズマイレブン,選手 (Player),FW,MF,火 (Fire),Rough Play,Curve Shot | Lightning Bolt | Twin Boost,111.0,108.0,98.0,87.0,85.0,80.0,96.0,665,Shoot > Offense,Shoot > Shoot | Offense > Offense
522,Nagahiro Amamiya,Paul Downs,雨宮,男 (Male),イナズマイレブン,選手 (Player),MF,DF,風 (Wind),Breach,Feint Play | Flurry Dash | Double Cyclone,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Defense > Offense,Offense > Offense | Defense > Defense
523,Nobuki Kurenai,Darrel Jeeling,紅,男 (Male),イナズマイレブン,選手 (Player),GK,MF,林 (Forest),Rough Play,Strong Punch | Afterimage | Giant Spider,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Offense,Keep > Keep | Offense > Offense
524,Toshizo Oshida,Nobby Shinn,歳三,男 (Male),イナズマイレブン,選手 (Player),FW,MF,林 (Forest),Counter,Nutmeg | Rolling Kick | Ultra Moon,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
525,Daigo Tsukazaki,Theo Broma,柄崎,男 (Male),イナズマイレブン,選手 (Player),DF,MF,火 (Fire),Breach,Shoulder Tackle | Meteor Shower | Racing Flame,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Offense,Defense > Defense | Offense > Offense
526,Koji Masago,Ramsey Faroe,砂,男 (Male),イナズマイレブン,選手 (Player),GK,MF,火 (Fire),Breach,Nutmeg | Drill Smasher | Heel Drop,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Offense > Keep,Keep > Keep | Offense > Offense
527,Ishimatsu Mori,Buster Chopps,石松,男 (Male),イナズマイレブン,選手 (Player),GK,MF,火 (Fire),Bond,Nutmeg | Fireball Knuckle | Dog Run,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Offense > Keep,Keep > Keep | Offense > Offense
528,Sakuya Fukutsu,Vince Bull,福津,男 (Male),イナズマイレブン,選手 (Player),MF,DF,風 (Wind),Counter,Shoulder Tackle | Water Veil | Double Cyclone,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Defense > Offense,Offense > Offense | Defense > Defense
529,Soji Yukao,Pat Maclean,宗次,男 (Male),イナズマイレブン,選手 (Player),FW,MF,風 (Wind),Rough Play,Deceptive Step | Spiral Shot | Aikido,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
530,Daigo Mutsu,Walter Card,陸奥,男 (Male),イナズマイレブン,選手 (Player),FW,MF,山 (Mountain),Breach,Bounce Shot | Dash Accelerator | Spectacle Crash,111.0,108.0,98.0,87.0,85.0,80.0,96.0,665,Shoot > Offense,Shoot > Shoot | Offense > Offense
531,Miki Chikai,Derek Terr,近井,男 (Male),イナズマイレブン,選手 (Player),FW,MF,火 (Fire),Counter,Dust Kick | Grenade Shot | Dog Run,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
532,Sumito Utada,Alton Oldhat,歌田,男 (Male),イナズマイレブン,選手 (Player),MF,FW,山 (Mountain),Tension,Chip Shot | Kangaroo Kick | Dirt Ball,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Shoot > Offense,Offense > Offense | Shoot > Shoot
533,Gakuji Yukiyama,Cal Cooler,雪山 (Mountain),男 (Male),イナズマイレブン,選手 (Player),FW,MF,林 (Forest),Bond,Power Shot | Deceptor Dribble | Run Ball Run,111.0,108.0,98.0,87.0,85.0,80.0,96.0,665,Shoot > Offense,Shoot > Shoot | Offense > Offense
534,Ryota Nekono,Tom Felix,猫野,男 (Male),イナズマイレブン,選手 (Player),MF,DF,風 (Wind),Breach,Nutmeg | Land of Ice | Dash Storm,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Defense,Offense > Offense | Defense > Defense
535,Taro Inui,Terry Orr,戌井,男 (Male),イナズマイレブン,選手 (Player),DF,MF,火 (Fire),Breach,Rolling Steal | Lightning Bolt | Volcano Cut,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Offense,Defense > Defense | Offense > Offense
536,Ko Sueno,Rudolph Rainder,末野,男 (Male),イナズマイレブン,選手 (Player),DF,MF,火 (Fire),Rough Play,Feint Dash | Ignited Steal | Scorching Tackle,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Offense > Defense,Defense > Defense | Offense > Offense
537,Mamoru Kaito,Nick Swagg,海東,男 (Male),イナズマイレブン,選手 (Player),GK,FW,火 (Fire),Counter,Curve Shot | Burnout | RC Shot,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Shoot > Keep,Keep > Keep | Shoot > Shoot
538,Yumechiyo Nakamura,Hal Leeward,夢千代,男 (Male),イナズマイレブン,選手 (Player),MF,DF,林 (Forest),Bond,Rolling Steal | Deceptor Dribble | Spider Web,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Defense > Offense,Offense > Offense | Defense > Defense
539,Kengo Uesugi,Arthur Dox,上杉,男 (Male),イナズマイレブン,選手 (Player),FW,MF,山 (Mountain),Rough Play,Crosscut Feint | Tarzan Kick | Mole Fake,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
540,Takao Eko,Reese Ickle,エコ,男 (Male),イナズマイレブン,選手 (Player),FW,MF,林 (Forest),Bond,Nutmeg | Kung Fu Header | Ultra Moon,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
541,Toshi Hijikata,Finn Attick,土方,男 (Male),イナズマイレブン,選手 (Player),DF,MF,風 (Wind),Justice,Dust Kick | Blade Attack | Heaven's Time,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Offense > Defense,Defense > Defense | Offense > Offense
542,Hidenori Toyotomi,Col Lector,豊臣,男 (Male),イナズマイレブン,選手 (Player),FW,MF,山 (Mountain),Counter,Crosscut Feint | Tarzan Kick | Mole Fake,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
543,Gen Hiraga,Crispin Shooter,平賀,男 (Male),イナズマイレブン,選手 (Player),GK,DF,火 (Fire),Counter,Mighty Save | Flame Dance | Nitro Slap,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Defense,Keep > Keep | Defense > Defense
544,Kosuke Iwanaga,Stu Perstitious,岩永,男 (Male),イナズマイレブン,選手 (Player),DF,MF,火 (Fire),Rough Play,Deceptive Step | Super Sumo Stomp | Heel Drop,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Offense > Defense,Defense > Defense | Offense > Offense
545,Yuto Shiragiku,Ashley Fay,白菊,男 (Male),イナズマイレブン,選手 (Player),FW,MF,風 (Wind),Justice,Deceptive Step | Northern Impact | Dash Storm,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
546,Ataru Takarada,Luke Raffles,中,男 (Male),イナズマイレブン,選手 (Player),MF,DF,林 (Forest),Bond,Nutmeg | Fake Ball | Matador Feint,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Defense,Offense > Offense | Defense > Defense
547,Umito Nabeyama,Stu Helmsley,なべ,男 (Male),イナズマイレブン,選手 (Player),GK,DF,火 (Fire),Rough Play,Power Catch | Ignited Steal | God Hand X,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Defense,Keep > Keep | Defense > Defense
548,Kyoichi Hibiki,Terrence Anthem,恭一,男 (Male),イナズマイレブン,選手 (Player),DF,MF,火 (Fire),Tension,Heel Flick | Ignited Steal | Heel Drop,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Offense > Defense,Defense > Defense | Offense > Offense
549,Takeo Fukuoka,Sam O'Reilly,福岡,男 (Male),イナズマイレブン,選手 (Player),MF,DF,火 (Fire),Rough Play,Rolling Steal | Lightning Bolt | Shooting Star,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Defense > Offense,Offense > Offense | Defense > Defense
550,Ranto Samejima,Ches Nutcracker,鮫島,男 (Male),イナズマイレブン,選手 (Player),GK,DF,火 (Fire),Rough Play,Shoulder Tackle | Fireball Knuckle | Volcano Cut,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Defense > Keep,Keep > Keep | Defense > Defense
551,Heisuke Oizumi,Victor Grand,尾泉,男 (Male),イナズマイレブン,選手 (Player),DF,MF,林 (Forest),Counter,Deceptive Step | Quick Draw | Clone Faker,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Offense > Defense,Defense > Defense | Offense > Offense
552,Maruo Kogane,Ant Hophila,黄金,男 (Male),イナズマイレブン,選手 (Player),DF,MF,山 (Mountain),Rough Play,Feint Dash | Earthquake | Mole Fake,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Offense > Defense,Defense > Defense | Offense > Offense
553,Jin Hiryu,Hunter Glory,飛龍,男 (Male),イナズマイレブン,選手 (Player),MF,DF,林 (Forest),Justice,Crosscut Feint | Killer Slide | Clone Faker,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Defense,Offense > Offense | Defense > Defense
554,Ryu Terano,Joe Rassock,寺野,男 (Male),イナズマイレブン,選手 (Player),GK,FW,風 (Wind),Tension,Power Catch | Condor Dive | Needle Hammer,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Shoot,Keep > Keep | Shoot > Shoot
555,Arata Kijima,Patch Borgnine,器島,男 (Male),イナズマイレブン,選手 (Player),MF,FW,火 (Fire),Tension,Feint Dash | Grenade Shot | Dog Run,100.0,109.0,105.0,87.0,88.0,81.0,97.0,667,Offense > Shoot,Offense > Offense | Shoot > Shoot
556,Nebaru Naya,Ted Fast,納屋,男 (Male),イナズマイレブン,選手 (Player),GK,DF,林 (Forest),Breach,Mighty Save | Quick Draw | Majin the Hand,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Defense,Keep > Keep | Defense > Defense
557,Hajime Kata,Clay Modlin,形,男 (Male),イナズマイレブン,選手 (Player),FW,DF,山 (Mountain),Tension,Curving Cut | Gaia Break | Gravestone,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Defense > Shoot,Shoot > Shoot | Defense > Defense
558,Ikuo Yaji,Alan Mode,矢地,男 (Male),イナズマイレブン,選手 (Player),DF,MF,風 (Wind),Bond,Shoulder Tackle | Aurora Dribble | Cyclone,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Offense,Defense > Defense | Offense > Offense
559,Reo Shiozaki,Harry Harper,汐崎,男 (Male),イナズマイレブン,選手 (Player),GK,DF,風 (Wind),Justice,Mighty Save | Frozen Steal | Needle Hammer,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Defense,Keep > Keep | Defense > Defense
560,Masahiko Chiuchi,Pascal Richter,地内,男 (Male),イナズマイレブン,選手 (Player),MF,DF,山 (Mountain),Rough Play,Cunning Pull | Monkey Turn | Stone Prison,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Defense > Offense,Offense > Offense | Defense > Defense
561,Sho Kazakiri,Beau Fort,風 (Wind)切,男 (Male),イナズマイレブン,選手 (Player),DF,MF,風 (Wind),Rough Play,Nutmeg | Frozen Steal | Dash Storm,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Offense > Defense,Defense > Defense | Offense > Offense
562,Osei Akae,Reid Scarlet,赤江,男 (Male),イナズマイレブン,選手 (Player),DF,MF,火 (Fire),Counter,Feint Dash | Photon Crash | Scorching Tackle,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Offense > Defense,Defense > Defense | Offense > Offense
563,Yoichi Makiba,Joe Lamkin,牧場,男 (Male),イナズマイレブン,選手 (Player),MF,DF,林 (Forest),Justice,Shoulder Tackle | Afterimage | Shadow Stitch,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Defense > Offense,Offense > Offense | Defense > Defense
564,Naohiro Kikka,Dylan Magpie,橘花,男 (Male),イナズマイレブン,選手 (Player),GK,DF,風 (Wind),Justice,Strong Punch | Blade Attack | Barrier Reef,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Defense,Keep > Keep | Defense > Defense
565,Haruyuki Mizukusa,Gil Rivers,水草,男 (Male),イナズマイレブン,選手 (Player),FW,MF,風 (Wind),Tension,Chip Shot | Water Veil | Space Penguin,111.0,108.0,98.0,87.0,85.0,80.0,96.0,665,Shoot > Offense,Shoot > Shoot | Offense > Offense
566,Haruaki Abe,Des Tiny,安倍,男 (Male),イナズマイレブン,選手 (Player),DF,MF,林 (Forest),Bond,Feint Play | Illusory Ball | Clone Defence,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Offense,Defense > Defense | Offense > Offense
567,Hajime Ebisuhara,Saul Dowd,始,男 (Male),イナズマイレブン,選手 (Player),DF,MF,山 (Mountain),Counter,Dust Kick | Earthquake | Mole Fake,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Offense > Defense,Defense > Defense | Offense > Offense
568,So Yogi,Kit Chapman,与木,男 (Male),イナズマイレブン,選手 (Player),FW,MF,火 (Fire),Rough Play,Bounce Shot | Double Touch | Twin Boost,111.0,108.0,98.0,87.0,85.0,80.0,96.0,665,Shoot > Offense,Shoot > Shoot | Offense > Offense
569,Hisato Unno,Fry Vollity,雲野,男 (Male),イナズマイレブン,選手 (Player),DF,MF,林 (Forest),Counter,Shoulder Tackle | Afterimage | Shadow Stitch,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Offense,Defense > Defense | Offense > Offense
570,Keisuke Semimoto,Clark Roach,蝉本,男 (Male),イナズマイレブン,選手 (Player),MF,DF,山 (Mountain),Rough Play,Feint Play | Dash Accelerator | Stone Prison,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Defense > Offense,Offense > Offense | Defense > Defense
571,Osamu Hibihara,Samuel Peeps,日々原,男 (Male),イナズマイレブン,選手 (Player),DF,FW,火 (Fire),Breach,Cunning Pull | Grenade Shot | Volcano Cut,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Shoot,Defense > Defense | Shoot > Shoot
572,Kazuhisa Meguro,Dai Hart,目黒,男 (Male),イナズマイレブン,選手 (Player),DF,MF,火 (Fire),Rough Play,Heel Flick | Super Sumo Stomp | Dog Run,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Offense > Defense,Defense > Defense | Offense > Offense
573,Rui Takano,Horty Courture,高野,男 (Male),イナズマイレブン,選手 (Player),FW,MF,林 (Forest),Bond,Deceptive Step | Rolling Kick | Ultra Moon,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
574,Michiru Ijuin,Bob Baggum,満,男 (Male),イナズマイレブン,選手 (Player),GK,DF,山 (Mountain),Breach,Cunning Pull | Burnout | Gravestone,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Defense > Keep,Keep > Keep | Defense > Defense
575,Wataru Tatsumaki,Ollie Twister,竜巻,男 (Male),イナズマイレブン,選手 (Player),FW,MF,風 (Wind),Bond,Dust Kick | Spiral Shot | Heaven's Time,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
576,Nagato Hatoyama,Fred Makepeace,鳩山 (Mountain),男 (Male),イナズマイレブン,選手 (Player),DF,MF,林 (Forest),Counter,Feint Play | Illusory Ball | Spider Web,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Offense,Defense > Defense | Offense > Offense
577,Toshiro Nemui,Walker Sleep,眠井,男 (Male),イナズマイレブン,選手 (Player),GK,DF,山 (Mountain),Justice,Strong Punch | Gravitation | Wood Chopper,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Defense,Keep > Keep | Defense > Defense
578,Sosuke Umiwatari,Sean Trawler,海渡,男 (Male),イナズマイレブン,選手 (Player),MF,DF,風 (Wind),Justice,Cunning Pull | Aurora Dribble | Double Cyclone,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Defense > Offense,Offense > Offense | Defense > Defense
579,Shinji Wataya,Ken Sewer,綿矢,男 (Male),イナズマイレブン,選手 (Player),GK,DF,林 (Forest),Justice,Shoulder Tackle | God Hand | Clone Defence,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Defense > Keep,Keep > Keep | Defense > Defense
580,Oma Takeda,Bamber Shoot,竹田,男 (Male),イナズマイレブン,選手 (Player),FW,MF,山 (Mountain),Bond,Heel Flick | Tarzan Kick | Mole Fake,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
581,Yoshihito Naka,Sly Winker,仲,男 (Male),イナズマイレブン,選手 (Player),DF,MF,風 (Wind),Counter,Rolling Steal | Aurora Dribble | Snow Angel,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Offense,Defense > Defense | Offense > Offense
582,Subaru Myojo,Teller Scoap,すばる,男 (Male),イナズマイレブン,選手 (Player),GK,MF,山 (Mountain),Counter,Strong Punch | Bewildered | Flash Upper,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Offense,Keep > Keep | Offense > Offense
583,Tappei Atago,Sam Firman,愛宕,男 (Male),イナズマイレブン,選手 (Player),GK,DF,火 (Fire),Counter,Power Catch | Ignited Steal | Rocket Kobushi,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Defense,Keep > Keep | Defense > Defense
584,Kanemitsu Kaburagi,Bear Turnbull,蕪木,男 (Male),イナズマイレブン,選手 (Player),FW,MF,林 (Forest),Counter,Crosscut Feint | Dragon Crash | Clone Faker,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
585,Tamotsu Taikoda,Tabor Drummond,ドラム,男 (Male),イナズマイレブン,選手 (Player),GK,DF,山 (Mountain),Bond,Cunning Pull | Fireball Knuckle | Circus Block,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Defense > Keep,Keep > Keep | Defense > Defense
586,Keisaku Shiga,Brook Atwater,滋賀,男 (Male),イナズマイレブン,選手 (Player),DF,FW,風 (Wind),Bond,Power Shot | Land of Ice | Inazuma-1,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Shoot > Defense,Defense > Defense | Shoot > Shoot
587,Aiki Kobu,Ike Doerflinger,合気,男 (Male),イナズマイレブン,選手 (Player),FW,MF,林 (Forest),Bond,Bounce Shot | Deceptor Dribble | Mirage Shot,111.0,108.0,98.0,87.0,85.0,80.0,96.0,665,Shoot > Offense,Shoot > Shoot | Offense > Offense
588,Tamikazu Iwate,Aessop Fabel,岩手,男 (Male),イナズマイレブン,選手 (Player),DF,MF,火 (Fire),Tension,Feint Dash | Super Sumo Stomp | Foul Offence 3,82.0,85.0,83.0,102.0,106.0,87.0,118.0,663,Offense > Defense,Defense > Defense | Offense > Offense
589,Kyuta Takuno,Grant Slammer,たっきゅう,男 (Male),イナズマイレブン,選手 (Player),FW,DF,風 (Wind),Bond,Shoulder Tackle | Condor Dive | Vac Attack,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Defense > Shoot,Shoot > Shoot | Defense > Defense
590,Tsukasa Inugami,Robin Cruise,犬神,男 (Male),イナズマイレブン,選手 (Player),GK,FW,山 (Mountain),Tension,Mighty Save | Gaia Break | Colosseum Guard,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Shoot,Keep > Keep | Shoot > Shoot
591,Ken Tatsumi,Mark Perfect,辰己,男 (Male),イナズマイレブン,選手 (Player),GK,DF,火 (Fire),Counter,Power Catch | Photon Crash | Nitro Slap,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Defense,Keep > Keep | Defense > Defense
592,Kyohei Suzumeno,Rolly Kerr,すずめ,男 (Male),イナズマイレブン,選手 (Player),MF,FW,風 (Wind),Justice,Chip Shot | Flurry Dash | The Typhoon,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Shoot > Offense,Offense > Offense | Shoot > Shoot
593,Saisuke Horitaka,Moses Pumper,掘高,男 (Male),イナズマイレブン,選手 (Player),FW,MF,火 (Fire),Breach,Heel Flick | Grenade Shot | Dog Run,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
594,Moriyuki Anko,Knight Reader,安功,男 (Male),イナズマイレブン,選手 (Player),DF,MF,山 (Mountain),Counter,Rolling Steal | Kangaroo Kick | Iron Wall,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Offense,Defense > Defense | Offense > Offense
595,Shoji Hakata,Cash Barganier,博多,男 (Male),イナズマイレブン,選手 (Player),FW,MF,火 (Fire),Rough Play,Dust Kick | Grenade Shot | Dog Run,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
596,Tento Nanahoshi,Brendan Branch,奈々星,男 (Male),イナズマイレブン,選手 (Player),GK,MF,山 (Mountain),Breach,Strong Punch | Monkey Turn | Flash Upper,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Offense,Keep > Keep | Offense > Offense
597,Konpei Yusa,Clark Rain,遊佐,男 (Male),イナズマイレブン,選手 (Player),MF,DF,山 (Mountain),Counter,Feint Play | Bewildered | Gravestone,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Defense > Offense,Offense > Offense | Defense > Defense
598,Hikaru Hoshino,Luther Rio,プリンス,男 (Male),イナズマイレブン,選手 (Player),GK,DF,風 (Wind),Bond,Mighty Save | Land of Ice | Barrier Reef,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Defense,Keep > Keep | Defense > Defense
599,Michinaga Fujiwara,Florian Hutter,藤原,男 (Male),イナズマイレブン,選手 (Player),MF,FW,火 (Fire),Bond,Power Shot | Meteor Shower | Hellfire,97.0,112.0,113.0,83.0,81.0,81.0,100.0,667,Shoot > Offense,Offense > Offense | Shoot > Shoot
600,Yasuhiro Ebina,Scamp Shrimplin,エビ,男 (Male),イナズマイレブン,選手 (Player),GK,DF,林 (Forest),Rough Play,Mighty Save | Fake Ball | Giant Spider,84.0,92.0,86.0,97.0,101.0,104.0,92.0,656,Keep > Defense,Keep > Keep | Defense > Defense
601,Namiya One,Adam Nesiac,大根,男 (Male),イナズマイレブン,選手 (Player),DF,MF,山 (Mountain),Breach,Cunning Pull | Kangaroo Kick | Bamboo Pattern,86.0,88.0,91.0,97.0,102.0,88.0,111.0,663,Defense > Offense,Defense > Defense | Offense > Offense
602,Keijiro Sugiyama,Rab Acus,すぎ,男 (Male),イナズマイレブン,選手 (Player),FW,MF,風 (Wind),Rough Play,Heel Flick | Condor Dive | Dash Storm,118.0,112.0,102.0,83.0,81.0,81.0,89.0,666,Offense > Shoot,Shoot > Shoot | Offense > Offense
