Name,Japanese Name,Element,Power,Tension,Type,Sub-Type,Shop 1,Shop 2,Duration (s)
Warp Space,ゆがむ空間,林 (Forest),50.0,50,Keep,,Vs Store,,4.62
Triple Defence,トリプルディフェンス,山 (Mountain),70.0,70,Keep,,Vs Store,,6.12
Gigant Wall,ギガントウォール,山 (Mountain),70.0,70,Keep,,Vs Store,,6.32
Blazing Knuckle,爆裂パンチ,火 (Fire),60.0,60,Keep,,Vs Store,,5.77
Flame Breath,火炎放射,火 (Fire),50.0,50,Keep,,Vs Store,Magic Moves (Odaiba Branch),7.02
Drill Smasher,ドリルスマッシャー,火 (Fire),85.0,80,Keep,,Vs Store,,5.51
Safety First,セーフティープロテクト,風 (Wind),50.0,50,Keep,,Vs Store,,5.84
God Hand X,ゴッドハンドＸ,火 (Fire),85.0,80,Keep,,Vs Store,,6.39
Celestial Zone,ホーリーゾーン,風 (Wind),85.0,80,Keep,,Vs Store,,6.11
The End,ジ・エンド,林 (Forest),85.0,80,Keep,,Vs Store,,6.92
Fingers of Gaia,フェンス・オブ・ガイア,山 (Mountain),60.0,60,Keep,,Vs Store,,6.07
Capable Hands,無頼ハンド,火 (Fire),70.0,70,Keep,,Vs Store,,6.51
Stomper Stopper,ドーンシャウト,林 (Forest),60.0,60,Keep,,Vs Store,Magic Moves (Odaiba Branch),5.79
Jumping Whack,ぶっとびパンチ,山 (Mountain),60.0,60,Keep,,Vs Store,,6.52
Double God Hand,ゴッドハンドＷ,山 (Mountain),85.0,80,Keep,,Vs Store,,8.01
Penguin the Hand,ペンギン・ザ・ハンド,無 (Void),70.0,70,Keep,,Vs Store,,9.09
Snake Shot,,山 (Mountain),50.0,50.0,Shoot,,Vs Store,,
Comet Shot,,風 (Wind),50.0,50.0,Shoot,Long Shoot,Vs Store,,
Psycho Shot,,林 (Forest),50.0,50.0,Shoot,,Vs Store,,
Heel Kick,,火 (Fire),50.0,50.0,Shoot,,Vs Store,,
Teleport Shot,,山 (Mountain),60.0,60.0,Shoot,,Vs Store,,
Dinosaur Roar,,山 (Mountain),60.0,70.0,Shoot,,Vs Store,,
Tusk Force,,林 (Forest),60.0,60.0,Shoot,,Vs Store,,
Dragon Cannon,,火 (Fire),70.0,70.0,Shoot,Counter Shoot,Vs Store,,
Double Wrath Shot,,林 (Forest),70.0,70.0,Shoot,Counter Shoot,Vs Store,,
Assault Shot,,火 (Fire),85.0,80.0,Shoot,Long Shoot,Vs Store,,
Gusher Crusher,,火 (Fire),70.0,70.0,Shoot,,Vs Store,,
Gold Rush,,山 (Mountain),70.0,70.0,Shoot,,Vs Store,,
Straight Counter,,風 (Wind),70.0,70.0,Shoot,Counter Shoot,Vs Store,,
Double Tornado,,林 (Forest),85.0,80.0,Shoot,Counter Shoot,Vs Store,,
Asteride,,風 (Wind),70.0,70.0,Shoot,Long Shoot,Vs Store,,
Dust Javelin,,山 (Mountain),85.0,80.0,Shoot,,Vs Store,,
Bubble Trouble,,風 (Wind),85.0,80.0,Shoot,,Vs Store,,
Dimensional Deluge,,林 (Forest),85.0,80.0,Shoot,Counter Shoot,Vs Store,,
Supermassive Shot,,山 (Mountain),100.0,100.0,Shoot,Counter Shoot,Vs Store,,
Fire Tornado TC,,火 (Fire),100.0,100.0,Shoot,,Vs Store,,
Great Blaster,,無 (Void),100.0,100.0,Shoot,,Vs Store,,
Big Bang Slash,,林 (Forest),100.0,100.0,Shoot,,Vs Store,,
Werewolf Howl,,火 (Fire),100.0,100.0,Shoot,,Vs Store,,
Nocturne,,風 (Wind),100.0,100.0,Shoot,,Vs Store,,
Volcanic Lightning,,火 (Fire),100.0,100.0,Shoot,,Vs Store,,
Magic Amp,,林 (Forest),100.0,100.0,Shoot,,Vs Store,,
Loyal Heart Shot,,火 (Fire),100.0,100.0,Shoot,,Vs Store,,
Galactic GigaFall,,無 (Void),100.0,100.0,Shoot,,Vs Store,,
Rodeo Clown,,風 (Wind),50.0,50.0,Offense,,Vs Store,,
Poison Fog,,風 (Wind),50.0,50.0,Offense,,Vs Store,,
Moonsault,,風 (Wind),50.0,50.0,Offense,,Vs Store,,
Magic,,林 (Forest),50.0,50.0,Offense,,Vs Store,,
Pyrokinetic,,火 (Fire),50.0,60.0,Offense,,Vs Store,,
Hoopsie-Daisy,,風 (Wind),50.0,50.0,Offense,,Vs Store,Magic Moves (Odaiba Branch),
Foul Offence,,火 (Fire),60.0,60.0,Offense,,Vs Store,,
Fugue Wave,,林 (Forest),60.0,70.0,Offense,,Vs Store,,
Format Disk,,無 (Void),60.0,70.0,Offense,,Vs Store,,
Z Slash,,林 (Forest),60.0,60.0,Offense,,Vs Store,,
Rolling Hell,,山 (Mountain),70.0,70.0,Offense,,Vs Store,,
Eye of the Storm,,林 (Forest),70.0,80.0,Offense,,Vs Store,,
Desert Drift,,山 (Mountain),70.0,70.0,Offense,,Vs Store,,
Silk Road,,火 (Fire),70.0,70.0,Offense,,Vs Store,,
Major Miner,,山 (Mountain),85.0,80.0,Offense,,Vs Store,,
Magmire,,火 (Fire),85.0,80.0,Offense,,Vs Store,,
Mushroom Hop,,林 (Forest),85.0,80.0,Offense,,Vs Store,,
Holograb,,山 (Mountain),100.0,100.0,Offense,,Vs Store,,
Diffusal Chord,,火 (Fire),100.0,100.0,Offense,,Vs Store,,
Horn Train,,火 (Fire),50.0,50.0,Defense,Shoot Block,Vs Store,,
About Face,,山 (Mountain),50.0,50.0,Defense,,Vs Store,,
Heavy Mettle,,山 (Mountain),50.0,60.0,Defense,Shoot Block,Vs Store,,
Copy Cut,,山 (Mountain),50.0,50.0,Defense,,Vs Store,,
Willy-Willy,,山 (Mountain),50.0,60.0,Defense,,Vs Store,,
Fake Bomber,,火 (Fire),60.0,60.0,Defense,,Vs Store,,
Maestro's Call,,林 (Forest),60.0,60.0,Defense,Shoot Block,Vs Store,,
Sleeping Dust,,林 (Forest),70.0,70.0,Defense,,Vs Store,,
Desert Blast,,風 (Wind),70.0,70.0,Defense,,Vs Store,,
Asterocks,,火 (Fire),70.0,70.0,Defense,Shoot Block,Vs Store,,
Fancy-Footwork,,火 (Fire),70.0,70.0,Defense,,Vs Store,,
Center Scythe Slice,,林 (Forest),70.0,70.0,Defense,Shoot Block,Vs Store,,
Volcanic Flight,,火 (Fire),70.0,80.0,Defense,,Vs Store,,
Floral Fiesta,,山 (Mountain),85.0,85.0,Defense,,Vs Store,,
Under Miner,,山 (Mountain),85.0,80.0,Defense,,Vs Store,,
Waterfall,,風 (Wind),85.0,80.0,Defense,Shoot Block,Vs Store,,
Rock Hammer,,山 (Mountain),85.0,80.0,Defense,,Vs Store,,
Judgement Ray,,火 (Fire),100.0,100.0,Defense,,Vs Store,,
Psychic Lift,,火 (Fire),100.0,100.0,Defense,,Vs Store,,
Wild Claw,,山 (Mountain),50.0,50.0,Keep,,Vs Store,,
Utter Gutsiness Catch,,山 (Mountain),50.0,50.0,Keep,,Vs Store,,
Fireball Head,,火 (Fire),50.0,50.0,Keep,,Vs Store,,
Whip Crack,,風 (Wind),50.0,60.0,Keep,,Vs Store,,
Wild Dunk,,風 (Wind),50.0,50.0,Keep,,Vs Store,,
All-Star,,風 (Wind),60.0,70.0,Keep,,Vs Store,,
Twist 'n' Clout,,林 (Forest),60.0,60.0,Keep,,Vs Store,,
Burnout Blast,,火 (Fire),70.0,70.0,Keep,,Vs Store,,
Menace Elbow,,風 (Wind),70.0,70.0,Keep,,Vs Store,,
Sand Blaster,,山 (Mountain),85.0,80.0,Keep,,Vs Store,,
Hydro Breath,,風 (Wind),85.0,80.0,Keep,,Vs Store,,
Venus Balltrap,,林 (Forest),85.0,80.0,Keep,,Vs Store,,
Claw de Force,,風 (Wind),85.0,80.0,Keep,,Vs Store,,
White Hole,,風 (Wind),100.0,100.0,Keep,,Vs Store,,
Bastion Block,,火 (Fire),100.0,100.0,Keep,,Vs Store,,
Dark Reversal,,風 (Wind),100.0,100.0,Keep,,Vs Store,,
Solution Boost,,林 (Forest),60.0,60.0,Shoot,,Vs Store,,
Legendary Silver Wolf,,風 (Wind),60.0,60.0,Shoot,Long Shoot,Vs Store,,
Flying Marlin,,風 (Wind),60.0,60.0,Shoot,Long Shoot,Vs Store,,
Peaky Breezy,,風 (Wind),60.0,60.0,Offense,,Vs Store,,
Hoopsie-Loop,,風 (Wind),60.0,60.0,Offense,,Vs Store,,
Frost Finesse,,風 (Wind),60.0,60.0,Offense,,Vs Store,,
Falcon Counter,,火 (Fire),60.0,60.0,Offense,,Vs Store,,
Matrix Eye,,林 (Forest),60.0,60.0,Offense,,Vs Store,,
Phantasm Dribble,,林 (Forest),60.0,60.0,Offense,,Vs Store,,
Look! A Rice Ball,,林 (Forest),60.0,60.0,Offense,,Vs Store,,
Amp Beat,,火 (Fire),60.0,60.0,Offense,,Vs Store,,
Vigorous Stomp,,火 (Fire),60.0,60.0,Defense,Shoot Block,Vs Store,,
Dark Mist,,林 (Forest),60.0,60.0,Defense,Shoot Block,Vs Store,,
Dramatic Swipe,,風 (Wind),60.0,60.0,Defense,,Vs Store,,
Runaway Bull,,火 (Fire),60.0,60.0,Defense,,Vs Store,,
Metal Hammer,,山 (Mountain),60.0,60.0,Defense,,Vs Store,Magic Moves (Odaiba Branch),
Banana Shot,,林 (Forest),50.0,50.0,Shoot,,Vs Store,,
Hawk Shot,,風 (Wind),50.0,50.0,Shoot,Counter Shoot,Vs Store,,
Cold Snap,,風 (Wind),60.0,60.0,Shoot,,Vs Store,,
Centrifugal Blast,,風 (Wind),50.0,50.0,Shoot,,Vs Store,,
Astro Gate,,林 (Forest),60.0,60.0,Shoot,,Vs Store,,
Sweet Deal,,林 (Forest),60.0,60.0,Shoot,,Vs Store,,
Leaping Thunder,,山 (Mountain),60.0,60.0,Shoot,,Vs Store,,
Rainbow Bubble Burst,,林 (Forest),60.0,60.0,Shoot,Long Shoot,Vs Store,,
Fire Tornado A,,火 (Fire),60.0,60.0,Shoot,,Vs Store,,
Flash Dance,,林 (Forest),60.0,60.0,Shoot,,Vs Store,,
Ursa Rager,,山 (Mountain),60.0,60.0,Shoot,,Vs Store,,
Clone Penguin,,林 (Forest),70.0,70.0,Shoot,,Vs Store,,
Dragon's Tail,,山 (Mountain),70.0,70.0,Shoot,,Vs Store,,
Gaussian Goal,,林 (Forest),70.0,70.0,Shoot,,Vs Store,,
Polar Bear No. 2,,山 (Mountain),70.0,70.0,Shoot,,Vs Store,,
Penguin Volley,,火 (Fire),70.0,70.0,Shoot,,Vs Store,,
Heavenly Tianlong,,山 (Mountain),70.0,70.0,Shoot,,Vs Store,,
Shadow Ray,,林 (Forest),70.0,70.0,Shoot,,Vs Store,,
Meteor Strike,,火 (Fire),85.0,80.0,Shoot,,Vs Store,,
Polar Pike,,風 (Wind),85.0,80.0,Shoot,Long Shoot,Vs Store,,
Brave Shot,,山 (Mountain),100.0,100.0,Shoot,Long Shoot,Vs Store,,
God Alone Knows,,風 (Wind),100.0,100.0,Shoot,,Vs Store,,
Dark Whirlwind,,林 (Forest),50.0,50.0,Offense,,Vs Store,,
Bubble Gum,,火 (Fire),50.0,50.0,Offense,,Vs Store,,
Guided Collide,,林 (Forest),50.0,50.0,Offense,,Vs Store,,
Armadillo Circus,,火 (Fire),60.0,60.0,Offense,,Vs Store,,
Echo Ball,,林 (Forest),60.0,60.0,Offense,,Vs Store,,
Big Fan,,風 (Wind),60.0,60.0,Offense,,Vs Store,,
Foul Offence 2,,火 (Fire),60.0,60.0,Offense,,Vs Store,,
Liar Shot,,火 (Fire),60.0,60.0,Offense,,Vs Store,,
In-Line Stampede,,無 (Void),60.0,60.0,Offense,,Vs Store,,
Flash Dash,,風 (Wind),70.0,70.0,Offense,,Vs Store,,
Short Circuit,,火 (Fire),85.0,80.0,Offense,,Vs Store,,
Shiny Feathers,,風 (Wind),85.0,80.0,Offense,,Vs Store,,
Twister Trap,,風 (Wind),50.0,50.0,Defense,,Vs Store,,
Frankenstun,,火 (Fire),50.0,50.0,Defense,,Vs Store,,
Am-Bush,,林 (Forest),60.0,60.0,Defense,,Vs Store,,
Master Stroke,,無 (Void),60.0,60.0,Defense,,Vs Store,,
Barbarian Shield,,山 (Mountain),70.0,70.0,Defense,Shoot Block,Vs Store,,
Gravity Cage,,山 (Mountain),70.0,70.0,Defense,Shoot Block,Vs Store,,
Easter Island Header,,山 (Mountain),70.0,70.0,Defense,,Vs Store,,
Ursa Binder,,山 (Mountain),70.0,70.0,Defense,Shoot Block,Vs Store,,
Swan Dive,,風 (Wind),50.0,50.0,Keep,,Vs Store,,
The Stinger,,林 (Forest),60.0,60.0,Keep,,Vs Store,,
Fur Trapper,,林 (Forest),60.0,60.0,Keep,,Vs Store,,
Maelstrom the Hand,,風 (Wind),85.0,85.0,Keep,,Vs Store,,
Northern Impact,ノーザンインパクト,風 (Wind),70.0,70,Shoot,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.77
Slingshot,スリングショット,山 (Mountain),85.0,80,Shoot,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.72
Double Helix,スプリングアロー,林 (Forest),60.0,60,Shoot,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),7.09
Revolution V,レボリューションＶ,風 (Wind),60.0,60,Shoot,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.56
Eagle Buster,イーグルバスター,山 (Mountain),60.0,60,Shoot,Long Shoot,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),7.98
Atomic Flare,アトミックフレア,火 (Fire),70.0,70,Shoot,Counter Shoot,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.76
Maximum Fire,マキシマムファイア,火 (Fire),60.0,60,Shoot,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.14
White Hurricane,ホワイトハリケーン,風 (Wind),60.0,60,Shoot,Counter Shoot,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.76
Dark Energy Star,エクステンドゾーン,林 (Forest),70.0,70,Shoot,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.86
Samba Strike,ストライクサンバ,山 (Mountain),60.0,60,Shoot,Long Shoot,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.36
Heavenly Drive,ヘブンドライブ,山 (Mountain),70.0,70,Shoot,Long Shoot,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),7.31
Falling Planet,オーガブレード,山 (Mountain),60.0,60,Shoot,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.02
Triple Threat,エボリューション,山 (Mountain),100.0,100,Shoot,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.26
Shadow Ray,シャドウ・レイ,山 (Mountain),70.0,70,Shoot,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.79
Bungee Ball Burst,バンジースラスト,火 (Fire),60.0,60,Offense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),4.89
Big Ball Trick,トリックボール,林 (Forest),50.0,50,Offense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.87
Clone Faker,分身フェイント,林 (Forest),50.0,50,Offense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),4.96
Three-Legged Rush,ニニンサンキャク,山 (Mountain),60.0,60,Offense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.79
Criss-Cross,ブリタニアクロス,火 (Fire),70.0,70,Offense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.52
Matador Feint,マタドールフェイント,林 (Forest),50.0,50,Offense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),7.18
Dash Storm,ダッシュストーム,風 (Wind),70.0,70,Offense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),4.61
Athena's Anthem,オリンポスハーモニー,林 (Forest),70.0,70,Offense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.19
Water Veil,ウォーターベール,風 (Wind),60.0,60,Offense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),4.37
Air Ride,エアライド,風 (Wind),70.0,70,Offense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),7.76
Magnetism,マグネットドロー,林 (Forest),50.0,50,Defense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.24
Fire Drill,スクリュードライバー,火 (Fire),60.0,60,Defense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.37
Perimeter Zone,プロファイルゾーン,風 (Wind),50.0,50,Defense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.41
Rolling Slide,ローリングスライド,火 (Fire),60.0,60,Defense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.01
Electric Impedance,ブリッツブリッジ,無 (Void),50.0,50,Defense,Shoot Block,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.67
Harvest,ハーヴェスト,林 (Forest),60.0,60,Defense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),4.91
Particle Accelerator,グランドスイーパー,無 (Void),60.0,60,Defense,Shoot Block,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),7.71
Ozone Flayer,エアーバレット,風 (Wind),60.0,60,Defense,Shoot Block,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.06
Shooting Star,シューティングスター,火 (Fire),60.0,60,Defense,Shoot Block,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.49
Circus Block,ブロックサーカス,山 (Mountain),60.0,60,Defense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.0
No Escape,ノーエスケイプ,山 (Mountain),85.0,80,Defense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.96
Diabolical Cut,デーモンカット,林 (Forest),70.0,70,Defense,Shoot Block,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.37
Body Shield,ボディシールド,山 (Mountain),85.0,80,Defense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.69
Oglitteration,きらきらイリュージョン,林 (Forest),85.0,80,Defense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.19
Fist Beam,ビームこぶし,火 (Fire),70.0,70,Keep,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),7.37
Storm Rider,ストームライダー,風 (Wind),60.0,60,Keep,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.86
Capoeira Grab,カポエィラスナッチ,山 (Mountain),60.0,60,Keep,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),4.77
Needle Hammer,ニードルハンマー,風 (Wind),60.0,60,Keep,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.91
Table-Turner,ちゃぶ台返し,山 (Mountain),60.0,60,Keep,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),4.94
Shot Stopper,シュートブレイク,火 (Fire),60.0,60,Keep,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),7.93
Giant Spider,ビッグスパイダー,林 (Forest),60.0,60,Keep,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),4.67
Crystal Barrier,クリスタルバリア,風 (Wind),60.0,60,Keep,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.37
Crescent Cross,弧月十字掌,無 (Void),70.0,70,Keep,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),7.11
Dual Smash,デュアルスマッシュ,林 (Forest),60.0,60,Keep,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.37
Double Rocket,ダブルロケット,火 (Fire),70.0,70,Keep,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.56
Rotary Sander,サンドカッター,火 (Fire),70.0,70,Keep,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),7.81
Bridge to Nowhere,キルブリッジ,風 (Wind),70.0,70,Keep,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.67
Gravity Point,グラビティポイント,林 (Forest),70.0,70,Keep,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.46
Beast Fang,ビーストファング,火 (Fire),85.0,80,Keep,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.09
Million Hands,ミリオンハンズ,火 (Fire),70.0,70,Keep,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.82
Phantom Shot,ファントムシュート,林 (Forest),50.0,50,Shoot,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),3.3
Rolling Kick,ローリングキック,林 (Forest),50.0,50,Shoot,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),4.67
Patriot Shot,パトリオットシュート,火 (Fire),60.0,60,Shoot,Long Shoot,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.72
Cross Drive,クロスドライブ,風 (Wind),50.0,50,Shoot,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.11
Condor Dive,コンドルダイブ,風 (Wind),50.0,50,Shoot,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.26
Run Ball Run,ラン・ボール・ラン,林 (Forest),50.0,50,Shoot,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.91
Shine Drive,シャインドライブ,火 (Fire),60.0,60,Shoot,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),4.0
Tarzan Kick,ターザンキック,山 (Mountain),50.0,50,Shoot,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),4.89
Dirt Ball,つちだるま,山 (Mountain),50.0,50,Shoot,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.01
Double Grenade,ダブルグレネード,火 (Fire),60.0,60,Shoot,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.75
Dual Strike,デュアルストライク,林 (Forest),60.0,60,Shoot,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),7.78
Bed of Roses,ローズスプラッシュ,林 (Forest),50.0,50,Shoot,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.06
Security Shot,セキュリティショット,林 (Forest),60.0,60,Shoot,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),7.84
Megalodon,メガロドン,風 (Wind),60.0,60,Shoot,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.32
Paladin Strike,パラディンストライク,山 (Mountain),60.0,60,Shoot,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),3.75
Gunshot,ガンショット,火 (Fire),50.0,50,Shoot,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.43
RC Shot,ＲＣシュート,火 (Fire),60.0,60,Shoot,Long Shoot,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.96
Bouncing Bomb,バウンドフレイム,火 (Fire),50.0,50,Shoot,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),4.52
Warhead,ロケットヘッド,火 (Fire),60.0,60,Shoot,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.01
Optimal Trajectory,パーフェクトコース,林 (Forest),50.0,50,Shoot,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.47
Will-o'-the-Wisp Shot,マボロシショット,林 (Forest),60.0,60,Shoot,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.34
Flying Fish,フライングフィッシュ,風 (Wind),50.0,50,Shoot,Long Shoot,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),4.94
Plasma Ball,プラズマボール,風 (Wind),50.0,50,Shoot,Long Shoot,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.51
Cupid's Arrow,ラブ・アロー,火 (Fire),60.0,60,Shoot,Long Shoot,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.34
Whirlwind Twister,竜巻旋風,風 (Wind),50.0,50,Offense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),4.19
Dash Accelerator,ダッシュアクセル,山 (Mountain),50.0,50,Offense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),3.47
Monkey Turn,モンキーターン,山 (Mountain),50.0,50,Offense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),3.9
Aurora Dribble,オーロラドリブル,風 (Wind),70.0,70,Offense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.36
Kangaroo Kick,カンガルーキック,山 (Mountain),50.0,50,Offense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),4.47
Heel Drop,ならく落とし,火 (Fire),60.0,60,Offense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),4.39
Dog Run,ドッグラン,火 (Fire),50.0,50,Offense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.26
Boomerang Bluff,ブーメランフェイント,山 (Mountain),50.0,50,Offense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.84
Blast Mine,クレイモア,山 (Mountain),60.0,60,Offense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.79
Spin Out,スピニングアッパー,風 (Wind),60.0,60,Offense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.07
Transporter Device,トランスムーブ,林 (Forest),60.0,60,Offense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.79
Swallow Counter,ツバメ返し,火 (Fire),60.0,60,Offense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.21
Fake Ball,フェイクボール,林 (Forest),50.0,50,Defense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),3.81
Sumo Stomp,四股踏み,山 (Mountain),50.0,50,Defense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),4.44
Blade Attack,ブレードアタック,風 (Wind),50.0,50,Defense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.96
Land of Ice,アイスグランド,風 (Wind),60.0,60,Defense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.87
Super Sumo Stomp,スーパー四股踏み,火 (Fire),60.0,60,Defense,Shoot Block,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.39
Gravestone,グレイブストーン,山 (Mountain),60.0,60,Defense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.97
Racing Flame,地走り火炎,火 (Fire),60.0,60,Defense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),4.46
Thief's Eye,シーフ・アイ,林 (Forest),50.0,50,Defense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.31
Slice and Dice,ツインミキサー,火 (Fire),60.0,60,Defense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.34
Pincer Pinch,ビッグシザース,火 (Fire),60.0,60,Defense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.56
Jumbo Sandwich,エレファントプレス,山 (Mountain),70.0,70,Defense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.61
Fractal Repeller,フラクタルハウス,山 (Mountain),70.0,70,Defense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),7.61
Tesla Coil,コイルアッパー,林 (Forest),60.0,60,Defense,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),5.62
Wood Chopper,薪割りチョップ,山 (Mountain),60.0,60,Keep,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),4.74
Whirlwind,つむじ,風 (Wind),50.0,50,Keep,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.6
Rocket Kobushi,ロケットこぶし,火 (Fire),60.0,60,Keep,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.39
Flower Power,花吹雪,風 (Wind),50.0,50,Keep,,Magic Moves (Odaiba Branch),Magic Moves (Arcade Branch),6.64
