ID,Name(Romaji),Name(Localised),Nickname,Gender,Passive ID,Role,Game,Position,Alt Position,Element,Preferred Playstyle,First 3 Moves Learnt,Shot AT,Focus AT,Focus DF,Scramble AT,Scramble DF,Castle Wall DF,KP,Main Path,Alternate Paths
1,Mamoru Endo,Mark Evans,,男 (Male),,選手 (Player),,GK,FW,山 (Mountain),Justice,Strong Punch | God Hand | Fireball Knuckle,187,233,243.5,202,195,203,955,Keep > Keep,Keep > Keep | Shoot > Shoot
286,Nozomu Shinano,Conan Fox,,男 (Male),,選手 (Player),,GK,DF,山 (Mountain),Rough Play,Mighty Save | The Wall | Wood Chopper,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
287,Kurinosuke Iga,Spike Coiffs,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Bond,Dust Kick | Frozen Steal | Dash Storm,167,209,244.5,224,220,208,870,Offense > Defense,Defense > Defense | Offense > Offense
288,Tatsuo Kamai,Roger Rocket,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Breach,Curving Cut | Flurry Dash | The Tower,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
289,Yoichi Nasu,Bill Teller,,男 (Male),,選手 (Player),,DF,FW,林 (Forest),Tension,Curving Cut | Rolling Kick | Spider Web,174,222,246,213,208,199,852,Defense > Shoot,Defense > Defense | Shoot > Shoot
290,Arata Kongo,Billy Nomates,,男 (Male),,選手 (Player),,GK,DF,林 (Forest),Tension,Cunning Pull | Wormhole | Harvest,176,220,230,193,189,198,913,Defense > Keep,Keep > Keep | Defense > Defense
291,Takuto Kazamukai,Harry Caine,,男 (Male),,選手 (Player),,GK,DF,風 (Wind),Breach,Cunning Pull | Ice Block | The Tower,176,220,230,193,189,198,913,Defense > Keep,Keep > Keep | Defense > Defense
292,Aoto Kamakiri,Martin Sheller,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Tension,Chip Shot | Double Touch | Gunshot,219,261.5,234,181,183,172,749,Shoot > Offense,Shoot > Shoot | Offense > Offense
293,Genki Mori,Alfie Fine,,男 (Male),,選手 (Player),,GK,MF,林 (Forest),Bond,Deceptive Step | Warp Space | Ultra Moon,176,220,230,193,189,198,913,Offense > Keep,Keep > Keep | Offense > Offense
294,Shoji Sharaku,Cameron Mann,,男 (Male),,選手 (Player),,MF,DF,山 (Mountain),Bond,Curving Cut | Kangaroo Kick | No Escape,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
295,Iwao Sadanori,Don Keys,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Justice,Heel Flick | Grenade Shot | Scorching Tackle,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
296,Noboru Higashi,Sonny East,,男 (Male),,選手 (Player),,GK,DF,林 (Forest),Justice,Strong Punch | Ghost Pull | Dual Smash,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
297,Toji Rajomon,Dan Carpenter,,男 (Male),,選手 (Player),,GK,DF,山 (Mountain),Rough Play,Mighty Save | Earthquake | God Hand,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
298,Takashi Saigo,Doug Walker,,男 (Male),,選手 (Player),,GK,MF,山 (Mountain),Tension,Strong Punch | Monkey Turn | Colosseum Guard,176,220,230,193,189,198,913,Keep > Offense,Keep > Keep | Offense > Offense
299,Ryo Sakamoto,Frank Drake,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Rough Play,Curving Cut | Zigzag Spark | Perimeter Zone,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
300,Yoji Shiwasu,Chris Massey,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Breach,Feint Play | Illusory Ball | Spider Web,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
301,Kazuto Hotei,Carl Sacks,,男 (Male),,選手 (Player),,FW,MF,山 (Mountain),Justice,Feint Dash | Tarzan Kick | Mole Fake,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
302,Shin Hachisuga,Biff Beeston,,男 (Male),,選手 (Player),,GK,MF,林 (Forest),Counter,Power Catch | Deceptor Dribble | Dual Smash,176,220,230,193,189,198,913,Keep > Offense,Keep > Keep | Offense > Offense
303,Satoshi Mikuni,Lou Beigh,,男 (Male),,選手 (Player),,GK,DF,林 (Forest),Tension,Rolling Steal | Warp Space | Shadow Stitch,176,220,230,193,189,198,913,Defense > Keep,Keep > Keep | Defense > Defense
304,Akinobu Ishikura,Marv Errick,,男 (Male),,選手 (Player),,GK,MF,火 (Fire),Counter,Mighty Save | Double Touch | God Hand X,176,220,230,193,189,198,913,Keep > Offense,Keep > Keep | Offense > Offense
305,Kota Furai,Bob Whittle,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Tension,Crosscut Feint | Northern Impact | Heaven's Time,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
306,Seiji Kaio,Bert Neptune,,男 (Male),,選手 (Player),,MF,DF,林 (Forest),Breach,Heel Flick | Asteroid Belt | Matador Feint,210,266.5,244.5,186,185,177,767,Offense > Defense,Offense > Offense | Defense > Defense
307,Moyuru Aso,Sol Crater,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Justice,Nutmeg | Grenade Shot | Dog Run,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
308,Sui Reizen,Percy Coldstair,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Justice,Cunning Pull | Illusory Ball | Clone Defence,177,225.5,248.5,215,211,202,863,Defense > Offense,Defense > Defense | Offense > Offense
309,Makoto Himawari,Dusky Sunfield,,男 (Male),,選手 (Player),,MF,FW,風 (Wind),Justice,Curve Shot | Zigzag Spark | Inazuma Drop,209,273.5,253.5,181,183,164,733,Shoot > Offense,Offense > Offense | Shoot > Shoot
310,Rikimaru Miyake,Rocky Shears,,男 (Male),,選手 (Player),,GK,MF,山 (Mountain),Bond,Heel Flick | Burnout | Three-Legged Rush,176,220,230,193,189,198,913,Offense > Keep,Keep > Keep | Offense > Offense
311,Katsuo Tokiwa,Percy Stent,,男 (Male),,選手 (Player),,GK,MF,火 (Fire),Counter,Strong Punch | Double Touch | God Hand X,176,220,230,193,189,198,913,Keep > Offense,Keep > Keep | Offense > Offense
312,Choji Ryuno,Art Pendragon,,男 (Male),,選手 (Player),,GK,FW,風 (Wind),Bond,Mighty Save | Spinning Shot | Electric Trap,176,220,230,193,189,198,913,Keep > Shoot,Keep > Keep | Shoot > Shoot
313,Hajime Uzuki,Dom Ittory,,男 (Male),,選手 (Player),,GK,DF,山 (Mountain),Justice,Power Catch | Sumo Stomp | God Hand,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
314,Isao Kondo,Chaz Biggins,,男 (Male),,選手 (Player),,FW,MF,山 (Mountain),Breach,Crosscut Feint | Gaia Break | Three-Legged Rush,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
315,Takashi Senju,Sly O'Hands,,男 (Male),,選手 (Player),,GK,MF,風 (Wind),Bond,Crosscut Feint | Procyon Net | Heaven's Time,176,220,230,193,189,198,913,Offense > Keep,Keep > Keep | Offense > Offense
316,Shion Furano,Sean Lavender,,男 (Male),,選手 (Player),,FW,MF,林 (Forest),Justice,Curve Shot | Deceptor Dribble | Clone Shot,219,261.5,234,181,183,172,749,Shoot > Offense,Shoot > Shoot | Offense > Offense
317,Buruto Uin,Ace Server,,男 (Male),,選手 (Player),,GK,MF,風 (Wind),Bond,Deceptive Step | Procyon Net | Aikido,176,220,230,193,189,198,913,Offense > Keep,Keep > Keep | Offense > Offense
318,Kaiji Katsu,Horace Nelson,,男 (Male),,選手 (Player),,GK,DF,火 (Fire),Counter,Shoulder Tackle | Burnout | Racing Flame,176,220,230,193,189,198,913,Defense > Keep,Keep > Keep | Defense > Defense
319,Taiji Shotoku,Philip Prince,,男 (Male),,選手 (Player),,GK,DF,林 (Forest),Breach,Curving Cut | Black Hole | Spider Web,176,220,230,193,189,198,913,Defense > Keep,Keep > Keep | Defense > Defense
320,Satoshi Narita,Heath Rower,,男 (Male),,選手 (Player),,MF,DF,風 (Wind),Rough Play,Feint Play | Aurora Dribble | Whirlwind Force,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
321,Shintaro Raiden,Kim Arite,,男 (Male),,選手 (Player),,GK,DF,山 (Mountain),Counter,Mighty Save | Sumo Stomp | Capoeira Grab,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
322,Mantaro Oya,Jay Archer,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Justice,Feint Dash | Grenade Shot | Heel Drop,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
323,Ritsu Nakayama,Bo Ling,,男 (Male),,選手 (Player),,DF,FW,林 (Forest),Justice,Chip Shot | Ghost Pull | Freeze Shot,167,209,244.5,224,220,208,870,Shoot > Defense,Defense > Defense | Shoot > Shoot
324,Takayuki Shusui,Chuck Hardy,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Bond,Nutmeg | Cross Drive | Aikido,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
325,Tsubasa Akagawa,Ben Evolent,,男 (Male),,選手 (Player),,FW,DF,風 (Wind),Bond,Curve Shot | Blade Attack | Back Tornado,219,261.5,234,181,183,172,749,Shoot > Defense,Shoot > Shoot | Defense > Defense
326,Masayoshi Saibara,Will Noble,,男 (Male),,選手 (Player),,GK,DF,林 (Forest),Breach,Strong Punch | Killer Slide | Majin the Hand,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
327,Naosuke Shimotsuki,Jack Frosty,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Bond,Heel Flick | Frozen Steal | Dash Storm,167,209,244.5,224,220,208,870,Offense > Defense,Defense > Defense | Offense > Offense
328,Tasuke Nakamada,Larry Helps,,男 (Male),,選手 (Player),,FW,MF,林 (Forest),Justice,Nutmeg | Wrath Shot | Ultra Moon,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
329,Satoaki Komyoji,Monty Patten,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Bond,Deceptive Step | Asteroid Belt | Ultra Moon,167,209,244.5,224,220,208,870,Offense > Defense,Defense > Defense | Offense > Offense
330,Jubee Usuhiki,Chunk Gorman,,男 (Male),,選手 (Player),,FW,MF,山 (Mountain),Breach,Deceptive Step | Gaia Break | Three-Legged Rush,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
331,Toma Konpe,Balt Decker,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Tension,Nutmeg | Spinning Cut | Aikido,167,209,244.5,224,220,208,870,Offense > Defense,Defense > Defense | Offense > Offense
332,Michiru Gekko,Drew Crenshaw,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Justice,Deceptive Step | Earthquake | Mole Fake,167,209,244.5,224,220,208,870,Offense > Defense,Defense > Defense | Offense > Offense
333,Mitsuo Ashura,Stan Trum,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Counter,Deceptive Step | Grenade Shot | Foul Offence 3,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
334,Ren Hatano,Sham Spike,,男 (Male),,選手 (Player),,MF,DF,山 (Mountain),Bond,Shoulder Tackle | Dash Accelerator | Stone Prison,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
335,Amehiko Amano,Rainier Welkin,,男 (Male),,選手 (Player),,GK,DF,火 (Fire),Breach,Rolling Steal | Power Shield | Shooting Star,176,220,230,193,189,198,913,Defense > Keep,Keep > Keep | Defense > Defense
336,Kazuhito Taira,Evan Yielding,,男 (Male),,選手 (Player),,FW,MF,林 (Forest),Counter,Feint Dash | Wrath Shot | Clone Faker,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
337,Kumu Jizo,Phil Anthropic,,男 (Male),,選手 (Player),,FW,MF,山 (Mountain),Counter,Chip Shot | Bewildered | Tiger Drive,219,261.5,234,181,183,172,749,Shoot > Offense,Shoot > Shoot | Offense > Offense
338,Gai Takagiri,Fane Club,,男 (Male),,選手 (Player),,GK,DF,風 (Wind),Justice,Feint Play | Ice Block | Vac Attack,176,220,230,193,189,198,913,Defense > Keep,Keep > Keep | Defense > Defense
339,Ko Hosoi,Slim Lanky,,男 (Male),,選手 (Player),,GK,DF,風 (Wind),Breach,Power Catch | Land of Ice | Galatyn,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
340,Eiichi Tensho,Doug Lee,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Rough Play,Rolling Steal | Lightning Bolt | Racing Flame,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
341,Susumu Yamato,Edward Albion,,男 (Male),,選手 (Player),,GK,MF,山 (Mountain),Justice,Power Catch | Bewildered | Table-Turner,176,220,230,193,189,198,913,Keep > Offense,Keep > Keep | Offense > Offense
342,Tsutomu Tsumagari,Stu Dent,,男 (Male),,選手 (Player),,GK,DF,火 (Fire),Rough Play,Shoulder Tackle | Power Shield | Zigzag Flame,176,220,230,193,189,198,913,Defense > Keep,Keep > Keep | Defense > Defense
343,Ichigo Sera,Barry Straw,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Rough Play,Crosscut Feint | Spinning Shot | Heaven's Time,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
344,So Okita,Bobby Peel,,男 (Male),,選手 (Player),,MF,DF,山 (Mountain),Breach,Feint Play | Monkey Turn | Gravestone,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
345,Kiichi Nagasaki,Dan Castella,,男 (Male),,選手 (Player),,GK,DF,山 (Mountain),Tension,Strong Punch | The Wall | Table-Turner,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
346,Buichi Kamogawa,Bill Moony,,男 (Male),,選手 (Player),,FW,MF,山 (Mountain),Justice,Bounce Shot | Dash Accelerator | Paladin Strike,219,261.5,234,181,183,172,749,Shoot > Offense,Shoot > Shoot | Offense > Offense
347,Yoshio Hotoke,Buddy Goodman,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Bond,Feint Play | Deceptor Dribble | Clone Defence,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
348,Kuniaki Hashii,Dex Territy,,男 (Male),,選手 (Player),,GK,DF,山 (Mountain),Counter,Strong Punch | Gravitation | Colosseum Guard,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
349,Hikaru Akechi,Vinny O'Gaines,,男 (Male),,選手 (Player),,MF,FW,林 (Forest),Counter,Curve Shot | Afterimage | Run Ball Run,209,273.5,253.5,181,183,164,733,Shoot > Offense,Offense > Offense | Shoot > Shoot
350,Rento Kijihata,Ray Deo,,男 (Male),,選手 (Player),,GK,MF,風 (Wind),Tension,Deceptive Step | Procyon Net | Heaven's Time,176,220,230,193,189,198,913,Offense > Keep,Keep > Keep | Offense > Offense
351,Keiji Jinno,Archie Meades,,男 (Male),,選手 (Player),,GK,DF,林 (Forest),Rough Play,Strong Punch | Quick Draw | Giant Spider,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
352,Atsushi Fugaku,Dave Chaucer,,男 (Male),,選手 (Player),,MF,DF,林 (Forest),Rough Play,Curving Cut | Deceptor Dribble | Clone Defence,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
353,Ryo Shiroma,Billy Blanc,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Counter,Chip Shot | Water Veil | Thunder Beast,219,261.5,234,181,183,172,749,Shoot > Offense,Shoot > Shoot | Offense > Offense
354,Shinya Kurokawa,Creed Craving,,男 (Male),,選手 (Player),,GK,DF,火 (Fire),Tension,Mighty Save | Ignited Steal | Blazing Knuckle,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
355,Hataya Shobu,Phil Rosey,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Rough Play,Crosscut Feint | Grenade Shot | Foul Offence 3,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
356,Shoma Akagi,Harry Redcastle,,男 (Male),,選手 (Player),,MF,DF,風 (Wind),Rough Play,Shoulder Tackle | Water Veil | Whirlwind Force,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
357,Yosuke Amano,Sonny Welkin,,男 (Male),,選手 (Player),,MF,DF,火 (Fire),Rough Play,Rolling Steal | Meteor Shower | Rolling Slide,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
358,Kintaro Sakayama,Teddy Kodiak,,男 (Male),,選手 (Player),,MF,DF,山 (Mountain),Breach,Feint Play | Super Armadillo | Bamboo Pattern,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
359,Nemu Asatsuyu,Lloyd Tabb,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Justice,Cunning Pull | Zigzag Spark | The Tower,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
360,Eiji Yokohama,Francis Paine,,男 (Male),,選手 (Player),,MF,DF,林 (Forest),Bond,Nutmeg | Sigma Zone | Clone Faker,209,264,242.5,185,184,175,762,Offense > Defense,Offense > Offense | Defense > Defense
361,Shoichi Benten,Griff Strummer,,男 (Male),,選手 (Player),,GK,MF,風 (Wind),Rough Play,Mighty Save | Water Veil | Needle Hammer,176,220,230,193,189,198,913,Keep > Offense,Keep > Keep | Offense > Offense
362,Goyu Himuro,Bryce Bergman,,男 (Male),,選手 (Player),,MF,DF,火 (Fire),Tension,Curving Cut | Lightning Bolt | Volcano Cut,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
363,Yomi Shinma,Fingus Inky,,男 (Male),,選手 (Player),,MF,DF,林 (Forest),Bond,Cunning Pull | Deceptor Dribble | Shadow Stitch,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
364,Nagaru Mizuta,Walter Geyser,,男 (Male),,選手 (Player),,MF,DF,山 (Mountain),Rough Play,Curving Cut | Kangaroo Kick | No Escape,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
365,Do Zashiki,Les Knightley,,男 (Male),,選手 (Player),,GK,DF,火 (Fire),Breach,Curving Cut | Fireball Knuckle | Rolling Slide,176,220,230,193,189,198,913,Defense > Keep,Keep > Keep | Defense > Defense
366,Chujiro Kunisada,Conor Abley,,男 (Male),,選手 (Player),,GK,DF,火 (Fire),Justice,Power Catch | Flame Dance | Blazing Knuckle,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
367,Kageo Maita,Ainsley Burns,,男 (Male),,選手 (Player),,FW,MF,山 (Mountain),Counter,Heel Flick | Gaia Break | Mole Fake,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
368,Kento Gobo,Pete Grimes,,男 (Male),,選手 (Player),,GK,FW,火 (Fire),Rough Play,Mighty Save | Grenade Shot | God Hand X,176,220,230,193,189,198,913,Keep > Shoot,Keep > Keep | Shoot > Shoot
369,Shigeru Daitetsu,Manny Steele,,男 (Male),,選手 (Player),,MF,DF,火 (Fire),Breach,Curving Cut | Double Touch | Volcano Cut,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
370,Fureru Nunomura,Trey Hugger,,男 (Male),,選手 (Player),,GK,DF,火 (Fire),Bond,Power Catch | Photon Crash | God Hand X,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
371,Doya Fushiki,Jack Mate,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Justice,Shoulder Tackle | Water Veil | Vac Attack,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
372,Rokuro Himu,Mike Chequer,,男 (Male),,選手 (Player),,GK,MF,火 (Fire),Justice,Mighty Save | Meteor Shower | Nitro Slap,176,220,230,193,189,198,913,Keep > Offense,Keep > Keep | Offense > Offense
373,Hiroyuki Fukushi,Berty Adman,,男 (Male),,選手 (Player),,GK,DF,山 (Mountain),Rough Play,Power Catch | The Wall | Table-Turner,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
374,Meguru Koguruma,Troy Carr,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Counter,Dust Kick | Spinning Shot | Dash Storm,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
375,Uyuki Atsui,Hollis Ticure,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Justice,Dust Kick | Grenade Shot | Dog Run,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
376,Dan Aihara,Guy Dance,,男 (Male),,選手 (Player),,MF,DF,山 (Mountain),Counter,Feint Play | Monkey Turn | Stone Prison,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
377,Kuruto Tefuda,Jack Trumper,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Breach,Nutmeg | Condor Dive | Aikido,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
378,Mamoru Kanakata,John Corder,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Justice,Curve Shot | Lightning Bolt | Fire Tornado,219,261.5,234,181,183,172,749,Shoot > Offense,Shoot > Shoot | Offense > Offense
379,Ataru Tamagawa,Nigel Bramel,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Tension,Deceptive Step | Blade Attack | Aikido,167,209,244.5,224,220,208,870,Offense > Defense,Defense > Defense | Offense > Offense
380,Keiichi Sono,Hank O'Chief,,男 (Male),,選手 (Player),,GK,DF,火 (Fire),Breach,Mighty Save | Photon Crash | Flame Breath,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
381,Sakae Aen,Jess Uplement,,男 (Male),,選手 (Player),,MF,DF,山 (Mountain),Breach,Rolling Steal | Monkey Turn | Stone Prison,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
382,Hyogo Akai,Alec Smart,,男 (Male),,選手 (Player),,GK,DF,火 (Fire),Breach,Feint Play | Fireball Knuckle | Volcano Cut,176,220,230,193,189,198,913,Defense > Keep,Keep > Keep | Defense > Defense
383,Morihito Arisato,Rob Anchor,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Rough Play,Shoulder Tackle | Whirlwind Twister | Whirlwind Force,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
384,Tetsuma Yuguchi,Brent Cross,,男 (Male),,選手 (Player),,MF,DF,火 (Fire),Tension,Feint Play | Meteor Shower | Racing Flame,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
385,Ushio Naruto,Albert Wister,,男 (Male),,選手 (Player),,GK,DF,山 (Mountain),Breach,Strong Punch | The Wall | Table-Turner,176,220,230,193,189,198,913,Keep > Defense,Keep > Keep | Defense > Defense
386,Arashi Rokko,Nev Erin,,男 (Male),,選手 (Player),,FW,MF,風 (Wind),Bond,Dust Kick | Spinning Shot | Dash Storm,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
387,Kinta Toyama,Caz Yewell,,男 (Male),,選手 (Player),,GK,MF,火 (Fire),Bond,Mighty Save | Lightning Bolt | Blazing Knuckle,176,220,230,193,189,198,913,Keep > Offense,Keep > Keep | Offense > Offense
388,Saso Sorahara,Conor Trail,,男 (Male),,選手 (Player),,GK,MF,風 (Wind),Breach,Power Catch | Whirlwind Twister | Electric Trap,176,220,230,193,189,198,913,Keep > Offense,Keep > Keep | Offense > Offense
389,Hashiru Suzuka,Manuel Gere,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Counter,Rolling Steal | Water Veil | Snow Angel,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
390,Mitsuru Kanai,Per Hockside,,男 (Male),,選手 (Player),,FW,MF,火 (Fire),Tension,Dust Kick | Grenade Shot | Scorching Tackle,230,273,231.5,170,172,164,733,Offense > Shoot,Shoot > Shoot | Offense > Offense
391,Tsutomu Kanezawa,Lee Gleagle,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Breach,Feint Play | Afterimage | Harvest,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
392,Tateru Amato,Paul Pitcher,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Rough Play,Nutmeg | Sumo Stomp | Three-Legged Rush,167,209,244.5,224,220,208,870,Offense > Defense,Defense > Defense | Offense > Offense
393,Yukio Sanada,Turner Fortune,,男 (Male),,選手 (Player),,DF,MF,林 (Forest),Justice,Curving Cut | Deceptor Dribble | Harvest,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
394,Nagaru Mizuwatari,Walter Walken,,男 (Male),,選手 (Player),,DF,FW,風 (Wind),Tension,Cunning Pull | Condor Dive | Cyclone,174,222,246,213,208,199,852,Defense > Shoot,Defense > Defense | Shoot > Shoot
395,Nao Koko,Sal Curie,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Tension,Deceptive Step | Ignited Steal | Scorching Tackle,167,209,244.5,224,220,208,870,Offense > Defense,Defense > Defense | Offense > Offense
396,Mare Shirogane,Silver Platt,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Justice,Cunning Pull | Meteor Shower | Rolling Slide,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
397,Shunsuke Hayabusa,Nick Yergrub,,男 (Male),,選手 (Player),,FW,DF,風 (Wind),Counter,Cunning Pull | Spinning Shot | Double Cyclone,230,273,231.5,170,172,164,733,Defense > Shoot,Shoot > Shoot | Defense > Defense
398,Yakuma Kiriaya,Mal Inger,,男 (Male),,選手 (Player),,DF,FW,山 (Mountain),Tension,Curving Cut | Gaia Break | Bamboo Pattern,174,222,246,213,208,199,852,Defense > Shoot,Defense > Defense | Shoot > Shoot
399,Rinzo Mamiya,Jim Cook,,男 (Male),,選手 (Player),,DF,MF,風 (Wind),Bond,Cunning Pull | Aurora Dribble | Hurricane Arrows,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
400,Yushi Ideta,Gus Potter,,男 (Male),,選手 (Player),,DF,MF,山 (Mountain),Counter,Crosscut Feint | Earthquake | Three-Legged Rush,167,209,244.5,224,220,208,870,Offense > Defense,Defense > Defense | Offense > Offense
401,Fuga Neo,Handel Turnon,,男 (Male),,選手 (Player),,GK,MF,火 (Fire),Counter,Strong Punch | Double Touch | Flame Breath,176,220,230,193,189,198,913,Keep > Offense,Keep > Keep | Offense > Offense
402,Tamotsu Nurikabe,Peter Malus,,男 (Male),,選手 (Player),,MF,DF,山 (Mountain),Justice,Shoulder Tackle | Kangaroo Kick | Gravestone,209,273.5,253.5,181,183,164,733,Defense > Offense,Offense > Offense | Defense > Defense
403,Tatsuya Kasahara,Colin Lection,,男 (Male),,選手 (Player),,DF,MF,火 (Fire),Counter,Curving Cut | Meteor Shower | Rolling Slide,174,222,246,213,208,199,852,Defense > Offense,Defense > Defense | Offense > Offense
