nombre,posicion,juegos,ATT,CTL,DEF
Bot 9,DL,GO2 GO3,76,62,44
Bountine,MC,GO2 GO3 IE2,73,77,60
Bourne Birch,DF,GO1 GO2 GO3,53,57,67
Bowan Arras,DL,GO1 GO2,79,79,44
"Boyle ""Egg"" Egger",DL,GO2 GO3,75,58,38
Boyle Egger,DL,GO1,80,60,45
Bracknell Forge,DL,GO1 GO2 GO3,79,66,39
Brad Coldwater,MC,IE3,76,80,70
Braden Bakewell,DL,IE1 IE2 IE3,78,56,33
Bradford Ash,DL,GO1 GO2 GO3,77,75,45
Bramley Cox,DL,IE1 IE2 IE3,75,71,51
Brane Friese,DL,GO1 GO2 GO3,74,58,40
Brava Hardy,DL,IE3,82,67,30
Bravo,MC,GO2 GO3,72,68,64
"Breeze ""Flurry"" Aireward",DL,GO2,83,74,43
"Breeze ""Flurry"" Windward",DL,GO3,82,73,42
Breeze Skyler,PR,GO2 GO3,32,30,81
Breeze Windward,DL,GO1,75,66,42
Brenda Brandish,DL,IE2 IE3,76,64,48
Brenda Firequest,MC,GO1 IE3,75,78,58
Brendan Branch,PR,IE1 IE2 IE3,30,37,76
Brendan Water,DF,IE2 IE3,56,66,68
Brent Cross,MC,IE1 IE2 IE3,73,64,52
Bri Spark,DF,IE2 IE3,58,60,66
Brian Presser,DF,GO2,48,50,73
Brian Presser,DL,IE1 IE2 IE3,73,73,48
Brick DeVille,DL,GO3,78,73,37
Brick Devine,DL,GO2,79,73,38
Brighton Spark,MC,GO1 GO2 GO3,68,76,68
Brock Twigg,MC,IE1 IE2 IE3,64,63,75
Brody Gloom,MC,IE1 IE2 IE3,69,62,58
Brom,DL,GO3,80,67,34
Bromo Shubill,MC,GO3,76,81,55
Brook Atwater,DF,IE1 IE2 IE3,56,60,66
Brook Bold,MC,GO1 GO2 GO3,70,77,65
Brook Dredger,MC,IE3,66,69,50
Brook Linden,MC,GO1 GO2 GO3,75,79,64
Bruce Barkley,DL,IE2 IE3,80,79,50
Bruce Chaney,MC,IE1 IE2 IE3,64,70,51
Bruce Marlin,DL,IE3,80,70,36
Bruce Monkey,MC,IE1 IE2 IE3,71,75,52
Bruno Tanner,MC,GO1 GO2 GO3,73,83,60
Brutus Nastion,PR,GO1 GO2 GO3,33,35,83
Brutus Pummel,DF,GO1 GO2 GO3,49,64,70
Bryan Klamm,MC,IE2 IE3,66,72,60
Bryce Bergman,MC,IE1 IE2 IE3,64,75,66
Bryce Whitingale,DL,GO1 IE2 IE3,79,78,52
Buck Choy,MC,GO1 GO2 GO3,67,75,69
Buck Teachey,DF,IE1 IE2 IE3,55,62,67
Buck Tucker,DF,GO1 GO2 GO3,48,55,70
Bucky Bosquechuck,MC,GO2,68,72,59
Bucky Colt,DL,IE3,77,69,45
Bucky Woodchuck,MC,GO1 GO3,70,75,60
Bud Dahman,DL,IE1 IE2 IE3,70,63,36
Bud Hunter,PR,IE1 IE2 IE3,32,35,73
"Buddy ""Muscles"" Arnolds",PR,GO3,29,32,77
Buddy Arnolds,PR,GO1 GO2,30,34,79
Buddy Fury,MC,GO3,74,75,61
Buddy Goodman,DF,IE1 IE2 IE3,48,63,60
Buddy Plains,DF,IE3,60,59,69
Buff Bagenal,DF,IE3,56,60,74
Bully Thrower,DL,IE1 IE2 IE3,67,71,32
Bump Trungus,DF,GO1 GO2 GO3 IE3,49,66,78
Bunaashi,DF,GO3,54,57,73
Burt Mocking,DF,IE1 IE2 IE3,58,58,63
Burt Wolf,MC,IE1 IE2 IE3,80,69,56
Burt Zerka,DL,GO1 GO2 GO3,76,60,33
Buster Chopps,PR,IE1 IE2 IE3,36,34,75
Buster Clout,DF,IE1 IE2 IE3,59,64,73
Buster Locke,DF,IE1 IE2 IE3,55,57,59
Buster Lungs,DL,IE3,77,70,37
Butch Pythons,PR,IE1 IE2 IE3,38,39,76
Butler Chambers,DL,IE1 IE2 IE3,77,63,31
Buzz,DF,GO3,56,62,72
"Buzz ""Beanie"" Cutt",DF,GO3,56,56,77
Buzz Cutt,DF,GO1 GO2,58,62,75
Buzz O'Hare,MC,GO1 GO2 GO3,73,73,60
Buzz Scrambler,DL,IE3,68,70,36
Byeon Min-Seo,MC,GO3,63,72,61
Byrd Stryke,DF,GO1 GO2,59,66,73
Byrd Stryke,MC,GO3,72,74,72
Byron Love,MC,GO1 IE1 IE2 IE3,85,82,70
C-Bear,DF,GO2 GO3,52,62,76
Cadence Soundtown,MC,GO3 IE2 IE3,76,77,67
Caesar Cornell,MC,GO1 GO2 GO3,74,80,65
Caesar Lionheart,MC,GO1 GO2 GO3,74,84,60
Caetano Settler,DL,GO1 GO2 GO3,75,70,41
Caffrey Punt,PR,IE3,34,34,75
Cain Cavalier,DL,GO1 GO2 GO3,80,68,34
Cal Cooler,DL,IE1 IE2 IE3,77,68,47
Cal Emarry,PR,IE1 IE2 IE3,28,35,74
Cal O'Rees,DF,IE1 IE2,52,66,64
Cal O’Rees,DF,IE3,50,62,64
Cal Trops,MC,IE1 IE2 IE3,76,78,63
Calamar Blanco,MC,GO3,74,77,56
Calder Elm,DL,GO1 GO2 GO3,67,71,34
Cale Sticklin,DL,IE2 IE3,73,70,50
Caleb Stonewall,MC,GO1 GO2 GO3 IE2 IE3,80,84,66
Calico Corsair,DL,GO1 GO3,68,71,41
Calla de Wild,DL,GO1 GO2 GO3,77,72,44
Callan Trens,DL,IE1 IE2 IE3,75,70,48
Callie Graffy,DF,IE2 IE3,54,60,72
Callis Jove,MC,GO1 GO2 GO3,75,76,51
"Callum ""Croc"" Rocke",DL,GO2,77,63,32
Callum Biddy,MC,IE2 IE3,62,69,50
Callum Rocke,DL,GO1 GO3,82,64,34
Cam Broadsheet,MC,IE1 IE2 IE3,63,75,63
Cam Lensman,MC,IE1 IE2 IE3,62,72,52
Cam Mando,PR,IE3,37,38,82
Cam O'Miles,PR,IE1 IE2,42,28,77
Cam O’Miles,PR,IE3,39,28,75
Cam Vass,PR,IE1 IE2 IE3,30,35,71
Camelia Travis,DF,GO3,48,60,75
Camellia Travis,DF,GO1 GO2 IE3,46,55,73
Cameron Cambridge,DF,GO1 GO2 GO3,55,67,68
Cameron Hameha,MC,IE1 IE2 IE3,62,66,49
Cameron Mann,MC,IE1 IE2 IE3,74,72,65
Cameron Morefield,MC,IE1 IE2 IE3,75,70,58
Camilla Textor,DL,IE2 IE3,66,70,39
Camille Aeon,DF,GO1 GO2,57,60,70
Campen Allerjee,DL,IE3,77,62,36
Candice Mell,MC,IE2 IE3,78,70,58
Candido Glow,DF,GO1 GO2,52,58,78
Candy Reviva,DF,IE3,55,60,67
Cannon Random,MC,IE2 IE3,71,78,60
Canon Evans,DL,GO1 GO2 GO3 IE2 IE3,78,75,49
Cao Cao,DF,GO2 GO3,59,60,76
Capitán Jokar,DL,GO3,79,69,40
Capro Lynes,MC,GO1 GO2 GO3,68,81,55
Captain Jokar,DL,GO1 GO2,78,70,43
Cara Mass,DF,GO1 GO2 GO3,56,63,70
Cardin Hands,DL,IE1 IE2 IE3,73,64,47
Carey Bean,MC,IE1 IE2 IE3,71,67,69
Carey Filling,DF,IE2 IE3,42,50,58
Carey Ginu,DL,IE1 IE2 IE3,64,72,47
Carey Noakie,DL,GO1 GO2 GO3,78,65,37
Carey Vanpark,MC,IE1 IE2 IE3,66,63,60
Carl Belcher,PR,IE2 IE3,34,34,75
Carl Gnu,DL,IE1 IE2 IE3,64,70,48
Carl Nivor,PR,IE1 IE2 IE3,32,34,73
Carl Penter,DL,IE1 IE2 IE3,76,66,41
Carl Rhodes,DF,IE2 IE3,54,56,69
Carl Rissian,MC,GO1 GO2 GO3,67,77,50
Carl Sacks,DL,IE1 IE2 IE3,73,70,45
Carlos Arroyo,MC,IE3,68,81,67
Carlos Lagarto,DF,IE3,51,60,76
Carmen Aria,DL,GO2 GO3 IE3,72,59,39
Carny Voris,DF,GO1 GO2,52,48,78
Carol Chanter,DF,IE2 IE3,48,62,64
Carol Fairfoot,DL,GO2 GO3 IE3,79,73,44
Carrie McCuring,DL,GO3 IE3,80,73,42
Carrie O'Kea,DF,IE2,54,53,60
Carrie O’Kea,DF,IE3,53,53,61
Carson Haynes,DF,IE1 IE2 IE3,57,61,67
Carter Nightly,DF,IE1 IE2 IE3,63,67,69
Carter Spaid,DL,GO1 GO2 GO3,78,71,40
Cary Fearless,DL,IE2 IE3,76,71,44
Carys Chaparon,DL,IE2 IE3,80,72,56
"Casey ""Bagworm"" Moth",PR,GO2,30,29,77
Casey Leather,MC,IE2 IE3,75,78,78
Casey Moth,PR,GO1 GO3,30,30,78
Casey Novak,DF,IE1 IE2 IE3,57,62,72
"Cash ""Crash"" Tempest",MC,GO2 GO3,78,87,60
Cash Barganier,DL,IE1 IE2 IE3,62,58,36
Cash Tempest,MC,GO1,71,79,49
Cash Winfall,DF,IE2 IE3,50,61,63
Cass Crocker,DL,IE1 IE2 IE3,78,64,28
Cassius Tobler,DF,IE3,60,67,63
Cat Selima,MC,IE2 IE3,74,76,65
"Cato ""Caterpillar"" Pillar",MC,GO3,65,74,55
Cato Pillar,MC,GO1 GO2,67,76,56
Catora Peiji,DL,GO3,78,74,43
Catvari,DF,GO2 GO3,54,48,73
Caul Erpa,MC,GO1 GO2 GO3,66,75,48
Caz Yewell,PR,IE1 IE2 IE3,41,34,76
Cecil Crowley,MC,IE3,71,72,68
Cee Eff,MC,GO2 GO3,70,78,62
Celer Lightfoot,DL,GO1 GO2 GO3,79,77,34
Celia Hills,MC,GO1 GO2 GO3 IE2 IE3,70,75,60
Cerise Crane,MC,IE2 IE3,68,84,77
Chaa Mehn,DL,GO2 GO3,76,66,42
Chad Bullford,PR,IE1 IE2 IE3,26,33,84
Chad Jowell,PR,IE2 IE3,41,37,76
Chad Taylor,DF,IE2 IE3,60,61,66
Cham Barra,DF,GO1 GO2,54,64,80
Cham Lion,MC,IE1 IE2 IE3,60,64,62
Chamomile,MC,GO2 GO3,74,82,68
Champ Pignon,MC,GO2 GO3,74,72,49
Chance Cerulean,MC,IE2 IE3,72,80,62
Chandler Blanc,DF,GO1 GO2 GO3,56,63,73
Chandler Spillane,MC,IE3,68,74,65
Changsu Choi,MC,GO1 GO2 GO3 IE3,73,78,64
Char Shumaker,DL,IE1 IE2 IE3,74,70,44
Charity Verchu,DL,GO1 GO2 GO3,76,69,45
Charles Island,DF,IE1 IE2 IE3,66,71,75
Charles LeMans,MC,IE3,62,73,57
Charles Oughtry,MC,IE1 IE2 IE3,69,64,52
Charles Riverboat,DF,IE3,58,62,77
Charlie,MC,GO2 GO3,70,76,59
Charlie Boardfield,PR,IE1 IE2 IE3,37,32,80
Charlie Horse,DF,GO2 GO3,45,58,72
Charlie Krelborn,DL,IE1 IE2 IE3,65,72,32
Charlie Shearing,DF,IE1 IE2 IE3,57,62,65
Charon,DF,IE2,56,60,73
Charr Lightning,PR,GO1 GO2 GO3,29,30,82
Chase Faithfull,MC,IE3,74,76,63
Chase Spoor,MC,IE2 IE3,76,71,65
Chauncey Slinka,MC,GO2 GO3 IE3,77,80,64
Chaz Anover,MC,IE1 IE2 IE3,68,73,65
Chaz Biggins,DL,IE1 IE2 IE3,71,63,45
Chell,DL,GO2 GO3,80,74,40
Cherio Pardon,DF,GO3,61,64,77
Cherise Blossom,MC,GO3,76,88,47
Ches Nutcracker,PR,IE1 IE2 IE3,42,45,79
"Chester ""Manc"" Mann",PR,GO2 GO3,30,26,80
Chester Horse,PR,GO2 GO3,32,28,81
Chester Horse Jr,MC,IE1 IE2 IE3,74,85,66
Chester Takes,MC,IE2 IE3,74,77,69
Cheung Po,MC,GO1 GO2 GO3,64,73,64
Chi-Won Ho,PR,IE3,33,29,79
Chick Adiddy,DL,IE1 IE2 IE3,69,72,50
"Chief ""Kerchief"" Kerr",MC,GO2 GO3,67,72,54
Chief Kerr,MC,GO1,74,76,65
Chikka,MC,GO2 GO3,71,78,62
Chilee Menjacko,DF,GO3,55,60,74
Chinami Tokunaga,DF,IE3,40,46,79
Chinen Koishi,MC,GO3,64,73,45
Chip Chisel,DF,GO1 GO2 GO3,59,68,69
Chip Spacek,PR,IE2 IE3,41,38,82
Chip Stocks,DL,IE2 IE3,76,78,56
Chip Tatum,MC,IE3,69,76,64
Chiron Vestal,DL,GO1 GO3,72,72,45
Chitoh,PR,GO2 GO3,34,36,83
Chloe Glazier,DF,GO2 GO3 IE2 IE3,50,62,74
Choen Ryo,DL,GO2 GO3,82,74,46
Choi sin jae,DF,GO3,50,56,73
Chomo Ba,MC,GO2 GO3,78,88,66
Chops Denton,MC,IE1 IE2 IE3,82,77,72
Chris Country,MC,IE2 IE3,65,65,68
Chris Ellis,DF,IE3,59,69,65
Chris Glover,MC,IE1 IE2 IE3,78,71,76
Chris Hypogee,MC,IE1 IE2 IE3,65,74,53
Chris Massey,DF,IE1 IE2 IE3,61,60,64
Chris Miles,MC,IE1 IE2 IE3,73,76,65
Chris Pecracker,PR,IE1 IE2 IE3,35,35,70
Chris Talise,DF,IE1 IE2 IE3,40,46,66
Chris Ticker,DL,IE3,72,71,40
Chrissy Urchin,MC,GO1 GO2 GO3,68,76,66
Christian Ball,PR,GO1 GO2 GO3,34,30,80
Christian Dear,DF,IE1 IE2 IE3,60,64,71
Chroma,MC,GO3,71,83,68
Chuck Dollman,DL,IE1 IE2 IE3,68,65,35
Chuck Hardy,DL,IE1 IE2 IE3,69,70,36
Chuck Pumpkins,PR,GO1 GO2 GO3,28,29,77
"Chuckie ""Lasso"" Roper",MC,GO2,76,80,63
Chuckie Roper,MC,GO3 IE3,74,78,62
Chucky Cardaway,DL,IE3,88,72,36
Chunk Gorman,DL,IE1 IE2 IE3,67,69,45
Chunky,DF,GO2 GO3,55,50,70
Ciaran Wale,DF,GO1 GO2 GO3,53,49,71
Cinagy,PR,GO3,32,31,80
Cindy Reller,DL,GO1 GO2,76,78,48
Cinereous Slate,PR,GO1 GO2 GO3,33,30,80
Cinqua Lightning,DF,GO1 GO2 GO3,50,57,74
"Cinque ""5-Black"" Blackley",DL,GO2 GO3,78,72,44
Cinque Blackley,DL,GO1,71,75,44
Circulus,DL,GO3,86,80,45
"Ciril ""Citrine"" Trine",DF,GO2,44,55,74
Ciril Trine,DF,GO1 GO3,46,58,76
Cirrus Whisp,DF,GO2,52,55,75
Cirrus Whisp,MC,GO1 GO2 GO3,73,81,55
Claire Hostess,DL,IE2 IE3,77,70,42
Claire Lesnow,DF,GO1 IE3,48,58,72
Claire Taker,DF,IE2 IE3,48,53,62
Claire Voyant,MC,IE2 IE3,76,79,70
Clam Childs,DF,GO3,49,59,74
Clara Schott,DL,GO1 GO2 GO3,80,67,36
Clara Tompkins,DF,GO2 IE2 IE3,55,48,63
Clark Phylen,DL,IE3,73,70,41
Clark Rain,MC,IE1 IE2 IE3,65,76,49
Clark Roach,MC,IE1 IE2 IE3,77,66,65
Clark Tappen,PR,IE2 IE3,28,35,76
Clark Watcher,DF,IE1 IE2 IE3,48,62,70
Claude Beacons,DL,GO1 IE2 IE3,80,78,45
Claude Hammer,MC,GO1 GO2 GO3,66,79,63
Claude Moreau,MC,IE3,77,83,65
Claude Snap,DL,IE1 IE2 IE3,77,74,49
Clay Ellement,MC,IE3,70,83,74
Clay Modlin,DL,IE1 IE2 IE3,75,66,48
Clay Moor,DF,GO1 GO2 GO3,53,55,70
Clay Turnor,PR,IE2 IE3,42,36,78
Clear,DF,GO2 GO3 IE2,50,60,72
Clef Bassett,MC,IE2 IE3,62,74,62
Clem Attish,PR,GO1 GO2 GO3,32,35,77
Clerk Welcome,DF,IE1 IE2 IE3,63,64,60
Cletus Badden,MC,IE1 IE2 IE3,72,70,58
Cliff Tomlinson,DL,IE1 IE2 IE3,70,69,46
Climie Hills,PR,IE3,30,29,79
Clint Peacock,MC,IE2 IE3,75,70,60
Clint Wester,DF,IE1 IE2 IE3,63,68,73
Clive Mooney,DL,IE1 IE2 IE3,71,64,38
Cloudy Forbes,DF,GO1 GO2 GO3,56,60,74
Clove,MC,GO3,65,74,62
Cobie Clubb,PR,GO1 GO2 GO3,29,30,79
Cody Barani,PR,IE1 IE2 IE3,28,26,76
Cody Fink,MC,GO2 GO3 IE2 IE3,74,78,66
Coe Dachy,PR,IE2 IE3,38,34,77
Coeus Heavens,DL,GO1 GO2 GO3,77,62,35
Col Lector,DL,IE1 IE2 IE3,71,75,48
Colby Columbia,DL,GO1 GO2 GO3,81,68,44
"Cole ""Rhino"" Optera",DL,GO2,69,66,43
Cole Bear,MC,GO2 IE3,67,73,62
Cole Bludd,DF,GO1 GO2 GO3,53,46,71
Cole Coaker,PR,IE1 IE2 IE3,32,34,73
Cole Easteroll,DL,IE1 IE2 IE3,62,61,30
Cole Ebony,DF,GO1 GO2 GO3,52,61,74
Cole LaRuze,MC,GO3,76,80,63
Cole Optera,DL,GO1 GO3,68,67,43
Cole Stoaker,PR,GO2 GO3 IE2 IE3,28,28,78
Cole Tivator,DF,IE3,51,55,65
Colet First,DF,IE2 IE3,58,58,68
Colin Binder,MC,IE2 IE3,76,78,61
Colin Eager,DL,IE1 IE2 IE3,68,65,36
Colin Glower,MC,IE2 IE3,68,75,55
Colin Lection,DF,IE1 IE2 IE3,55,58,68
Colin Mando,MC,IE3,59,85,72
Colin Salts,DL,IE1 IE2 IE3,74,56,29
Colin Urlane,MC,GO1 GO2 GO3,66,80,69
Colt Youngstein,DF,IE2 IE3,65,69,71
Conan Fox,PR,IE1 IE2 IE3,30,35,73
Conant Ó Briain,DF,GO1 GO2 GO3,45,53,71
Concordia Choral,MC,GO2 GO3 IE3,69,71,58
Conn Fuchus,PR,IE2 IE3,42,38,82
Conn Pass,MC,IE1 IE2 IE3,67,76,49
"Connie ""Confucia"" Fucsia",DF,GO3,50,54,74
Connie Fuchsia,DF,GO2 IE3,57,58,72
Connor Bation,DL,IE1 IE2 IE3,69,64,30
Connor Fuschius,MC,GO1 GO2 GO3,65,71,49
Connor Murray,MC,GO1 IE3,78,76,63
Connor Seuer,MC,IE2 IE3,76,76,68
Connor Shuttle,DF,IE3,58,67,74
Conor Abley,PR,IE1 IE2 IE3,39,32,78
Conor Trail,PR,IE1 IE2 IE3,36,34,79
Conrad Jacket,MC,IE2 IE3,74,84,72
Constance Durand,DL,GO2 GO3,84,76,44
Constant Builder,DL,IE1 IE2 IE3,80,77,43
Cooper Kettle,MC,GO1 GO2 GO3,63,74,57
Cooper Nikos,PR,GO1 GO2 GO3,28,27,76
Coral,DF,IE2,57,69,71
Coral Talent,DL,IE2 IE3,74,68,44
Corey Washington,DF,IE3,62,59,63
Cornelius Roes,MC,GO1 GO2 GO3,73,78,56
Coruja Cerezo,MC,IE3,69,81,80
Corvus Cardson,DL,GO1 GO2 GO3,78,71,37
"Cory ""Coral"" Alberts",DL,GO2 GO3,70,70,34
Cory Alberts,DL,GO1,74,81,47
Cory Andish,DL,IE1 IE2 IE3,72,73,50
Cosimo Beck,MC,IE2 IE3,75,73,66
Craig Placid,DL,IE2 IE3,73,70,46
Crane Clawson,MC,IE1 IE2 IE3,74,75,69
Crane Kik,PR,IE2 IE3,40,42,76
Crateris Mercury,DF,GO1 GO2,51,62,66
Crateris Mercury,DL,GO3,67,67,49
Craven Kenville,DF,IE3,59,65,69
Creed Craving,PR,IE1 IE2 IE3,38,35,75
Creed Wrighter,DL,IE1 IE2 IE3,71,68,41
Creepy,DL,GO2 GO3,74,64,30
Crester Lipp,DL,GO2 GO3,76,55,30
Crimson Wiseman,DF,GO1 GO2 GO3,52,66,80
Crispin Shooter,PR,IE1 IE2 IE3,26,32,69
Cronus Fourseasons,MC,GO1 GO2 GO3,80,82,61
Cruz Ligner,MC,IE1 IE2 IE3,73,70,64
Crystal Clears,DL,IE2 IE3,70,73,42
Cuba Lieber,MC,IE3,75,79,66
Cumulo Nimbus,PR,GO1 GO2 GO3,32,29,78
"Curtis ""Curses"" Carson",DF,GO2 GO3,52,54,75
Curtis Carson,DF,IE3,45,55,74
Curtis Croon,DF,IE2 IE3,60,52,70
Curtis Rebell,DL,IE2 IE3,73,74,47
Cutter Shorten,DF,IE3,61,58,69
Cyber Dalekman,MC,GO1 GO2 GO3,70,78,61
Cymbal Kit,DF,GO2,53,58,70
"Cynthia ""Synthpop"" Electra",DL,GO2 GO3,75,68,32
Cynthia Electra,DL,GO1,82,73,41
Cyril Fox,PR,IE3,37,35,82
DEsmond Cartes,MC,GO3,70,68,45
Daffyd Blayne,DF,GO1 GO2 GO3,56,63,73
Dai Hart,DF,IE1 IE2 IE3,40,45,58
Dai Mondo,DF,GO1 GO2 GO3,51,60,74
Daisy Fields,PR,GO3 IE2 IE3,35,35,80
Daisy Young,DF,GO1 GO2 GO3,46,57,77
Dakarai Furman,DF,IE3,60,72,66
Dakkar Nemo,MC,GO1 GO2 GO3,73,79,61
Dale Riverhead,PR,IE2 IE3,40,38,76
Daley Switcher,MC,IE1 IE2 IE3,75,77,67
Damien Blackloch,DL,GO1 GO2 GO3,79,72,37
Damien Crawford,MC,IE3,69,80,58
"Damo ""DJ"" Jukes",DL,GO2,76,64,33
Damo Jukes,DL,GO1 GO3,78,66,36
Damon Sumner,DL,IE3,78,62,40
Damon Valiant,DL,GO1 GO2 GO3,83,74,35
Dan Bannerman,DF,GO1 GO2 GO3,48,61,71
Dan Carpenter,PR,IE1 IE2 IE3,28,33,70
Dan Castella,PR,IE1 IE2 IE3,37,36,73
Dan Cawarry,DL,IE2 IE3,76,64,46
Dan Dandy,DF,IE1 IE2 IE3,57,53,69
Dan Drobium,DL,IE1 IE2 IE3,70,71,41
Dan Fei,DL,IE3,73,66,48
Dan Hopper,DF,IE1 IE2 IE3,55,63,71
Dan Mirthful,DF,IE1 IE2 IE3,58,63,71
Dan Nettles,PR,IE1 IE2 IE3,38,36,75
Dan Rhino,MC,IE1 IE2 IE3,80,75,59
Dan Vega,DF,IE1 IE2 IE3,62,65,69
Dandy,MC,GO2 GO3,76,82,68
Daniel Dawson,MC,IE1 IE2 IE3,72,72,78
Daniel Hatch,DL,IE1 IE2 IE3,81,79,54
Daniele Sanctis,PR,IE3,31,43,85
Danny Wood,DF,GO1 IE1 IE2 IE3,58,62,76
Dante Diavolo,MC,IE3,86,78,55
Dany Destiny,DF,IE2 IE3,56,63,66
Dar Wynne,DL,GO1 GO2 GO3,69,65,37
Darehn,DF,GO2 GO3,53,62,76
Daren Blakh,DL,GO1 GO2 GO3,73,69,37
Darius Cyrus,MC,GO1 GO2 GO3,73,73,67
Darrel Jeeling,DF,GO2,56,57,77
Darrel Jeeling,PR,IE1 IE2 IE3,33,38,71
Darren Catt,DL,IE2 IE3,76,64,45
Darren LaChance,PR,GO1 GO2 GO3 IE2 IE3,36,36,83
Darren LaChance Adulto,PR,GO3,35,33,82
Dart H. Cylon,DF,GO1 GO2 GO3,57,69,71
Daryl Floor,DL,GO2 IE2 IE3,77,69,39
Dasan,DL,GO2 GO3,78,70,40
Dash Dotter,MC,IE1 IE2 IE3,68,72,59
Dave,PR,GO2,39,34,81
Dave Altair,DL,IE1 IE2 IE3,74,70,45
Dave Chaucer,MC,IE1 IE2 IE3,79,73,60
Dave Coppfielder,MC,GO1 GO2 GO3,77,82,68
Dave Dreem,DF,GO1 GO2 GO3,48,54,76
Dave Fate,DL,IE2 IE3,70,75,42
Dave Inchy,MC,GO1 GO2 GO3,71,71,62
Dave Lung,PR,IE2 IE3,40,44,80
Dave O'Resis,MC,IE1 IE2,64,66,48
Dave O’Resis,MC,IE3,63,66,49
Dave Quagmire,MC,IE3,86,81,71
Dave Walker,MC,GO2,72,84,68
Davi Peroquｺ,DL,IE3,81,75,28
David Buckingham,DF,IE3,60,69,77
David Burnum,DF,IE1 IE2 IE3,46,54,60
David Evans,PR,GO3,37,36,83
David Quagmire,MC,GO2 GO3,78,74,62
David Quintola,DL,GO1 GO2 GO3,81,71,37
David Samford,DL,GO1 GO2 GO3 IE1 IE2 IE3,79,73,45
David Waterman,DF,IE3,59,60,69
Davy Johns,DL,IE1 IE2 IE3,75,65,44
Davy Jones,DL,GO1 GO2 GO3,81,73,38
Dawntavius Spectrum,MC,GO1 GO2 GO3,77,77,62
Dawson Foxx,MC,GO1 IE3,75,78,61
Dawson Little,DF,IE2 IE3,64,62,66
Daz Tighthead,PR,IE1 IE2 IE3,40,43,79
Dean Goddard,DF,IE3,54,66,69
Debbie Dare,MC,GO1 GO2 GO3,72,72,59
Debra Lee,DL,IE3,66,61,37
Dec O'Rator,DL,IE1 IE2,70,68,33
Dec Orum,DL,IE1 IE2 IE3,79,70,45
Dec O’Rator,DL,IE3,69,66,35
Decker Pile,PR,IE3,43,43,78
Dee Tarrant,PR,IE3,39,34,78
Dee Vee,DF,GO2 GO3,54,60,76
Deece Lightning,MC,GO1 GO2 GO3,76,79,63
Deimos Mars,MC,GO1 GO2 GO3,70,74,50
Deimos Repton,DF,GO3,60,61,79
Dekih,DL,GO2 GO3,80,74,44
Del Aket,DF,GO1 GO2,55,50,75
Del Brighton,DL,IE2 IE3,72,67,48
Del Iverryboy,PR,IE1 IE2 IE3,35,34,71
"Delia ""Psyche"" Sykes",DL,GO2 GO3,78,64,38
Delia Sykes,DL,GO1,75,67,42
"Deliah ""Dazzle"" Aze",MC,GO3,71,80,63
"Deliah ""Dazzle"" Azel",MC,GO2,70,77,63
Deliah Azel,MC,GO1,65,68,55
Dell Closeout,PR,IE2 IE3,34,35,76
Delta,DL,GO2 GO3,74,64,40
Demerara Kane,DL,IE3,77,74,52
Demeter,DL,GO2 GO3,79,68,36
Den Hidden,PR,IE1 IE2 IE3,42,34,81
Den Taligene,MC,IE1 IE2 IE3,79,65,50
Denbee Asama,MC,GO2 GO3,72,78,62
Dennis Tistry,MC,GO1 GO2 GO3,67,73,65
Dennosuke Tokuni,DL,GO2 GO3,74,58,41
Denrai Ochimura,MC,GO2 GO3,72,72,63
Denzel Freezer,DL,IE3,71,80,47
Deos,MC,GO3,66,79,64
Derek Longhand,DL,IE1 IE2 IE3,74,74,49
Derek Rabson,MC,IE3,73,76,69
Derek Swing,MC,IE1 IE2 IE3,78,80,67
Derek Terr,DL,IE1 IE2 IE3,65,55,44
Derry Farmer,MC,IE3,67,70,55
Des Ainer,MC,IE1 IE2 IE3,80,69,67
Des Count,DF,IE1 IE2 IE3,60,64,74
Des Einer,DL,IE3,77,67,44
Des Eving,MC,GO1 GO2 GO3,72,81,53
Des Igner,DF,IE2 IE3,44,52,62
Des Tiny,DF,IE1 IE2 IE3,53,56,67
Desmodus Drakul,MC,GO2 GO3,84,89,66
Desmond Cartes,MC,GO1 GO2,75,72,49
Despina Laks,DL,GO3,80,74,46
Destra,DL,GO1 GO2 IE3,84,71,43
Devin Hornes,DF,GO1 GO2 GO3,50,54,72
Devlin Ogor,PR,IE3,45,45,75
Dex Territy,PR,IE1 IE2 IE3,37,33,73
Dexter Ambie,DF,IE1 IE2 IE3,63,62,65
Dexter Caise,DF,IE2 IE3,62,54,69
Dexter Poine,DL,GO1 GO2 GO3,75,64,38
Dexter Raleigh,DF,IE1 IE2 IE3,44,47,66
Dextra,DL,GO3,82,72,45
Dextra Gleeson,DL,IE3,66,68,38
Diam,DL,IE2,83,76,48
"Dias ""Diamond"" Mondragon",PR,GO2,31,36,80
Dias Mondragon,PR,GO1 GO3,30,36,82
Diazo Kagobutsu,PR,GO3,33,33,80
Dick Turbin,DF,IE1 IE2 IE3,42,45,63
Dicus,PR,GO3,34,32,83
Diego Oro,DL,IE3,77,75,49
Dijea Graffin,DF,GO2 GO3,46,54,72
Dilly Honeywell,MC,GO1 GO2 GO3,66,80,62
Dilshod Sokurov,DL,GO3,81,76,46
Diminuto,MC,GO3,69,76,59
Dino Zolletta,DL,IE3,82,83,41
Dione Balge,MC,GO3,76,78,63
Dionysus,DF,GO2 GO3,47,48,76
